"TABLE","PKEY","NAME","PROJECTID","SETID","PID","ADDRSLCT","ADDRESS","ALIAS","ALIASTYPE","P1","P2","P3","P4","P5","P6","P7","P8","TYPE","FORMAT","ISSCALE","SCALEOFFST","SCALEFACT","ISDEADBAND","DEADBAND","ISMODIFY","MSINPUT","MSOUTPUT","MSAUTOSUBS","MSUNIT"
"DESetAnalog","18036","c26b4fab-35ea-41a3-b823-c3ba6c5e4466","0","GW3RMUC32","PCPTHO_RC0109CM_K3,IA:A","0","0","","0","0","0","0","0","0","0","0","0","0","1","0","0","0","0","0","0","0","0","0","0"
"DESetAnalog","18037","e194ab36-9f7e-48b3-bb1c-728a91edfc7c","0","GW3RMUC32","PCPTHO_RC0109CM_K2,IA:A","0","1","","0","0","0","0","0","0","0","0","0","0","1","0","0","0","0","0","0","0","0","0","0"
"DESetAnalog","18038","b8ba380a-ec4a-48cc-b7dc-adacbe150c02","0","GW3RMUC32","PCPTHO_RC0109CM_K1,IA:A","0","2","","0","0","0","0","0","0","0","0","0","0","1","0","0","0","0","0","0","0","0","0","0"
"DESetAnalog","18039","e61b7fca-3a32-4fe2-8336-0948228f680e","0","GW3RMUC32","PCPTHO_RC0109CM_K4,IA:A","0","3","","0","0","0","0","0","0","0","0","0","0","1","0","0","0","0","0","0","0","0","0","0"
"DESetAnalog","18040","4e688082-a8fe-4320-8d4f-3fd2016bc09e","0","GW3RMUC32","PCPTHO_RC0109CM_K3,IB:A","0","4","","0","0","0","0","0","0","0","0","0","0","1","0","0","0","0","0","0","0","0","0","0"
"DESetAnalog","18041","a4893f48-b95e-4f11-b68b-a229ef2105af","0","GW3RMUC32","PCPTHO_RC0109CM_K4,IB:A","0","5","","0","0","0","0","0","0","0","0","0","0","1","0","0","0","0","0","0","0","0","0","0"
"DESetAnalog","18042","1a4bcc30-9a06-4210-a981-7b625f2fe528","0","GW3RMUC32","PCPTHO_RC0109CM_K2,IB:A","0","6","","0","0","0","0","0","0","0","0","0","0","1","0","0","0","0","0","0","0","0","0","0"
"DESetAnalog","18043","f614412b-f2ad-40d7-ae03-029e21b7b3b0","0","GW3RMUC32","PCPTHO_RC0109CM_K1,IB:A","0","7","","0","0","0","0","0","0","0","0","0","0","1","0","0","0","0","0","0","0","0","0","0"
"DESetAnalog","18044","e2eb2ecb-b812-4819-887b-ffe2f39cb309","0","GW3RMUC32","PCPTHO_RC0109CM_K4,IC:A","0","8","","0","0","0","0","0","0","0","0","0","0","1","0","0","0","0","0","0","0","0","0","0"
"DESetAnalog","18045","5cff20e6-cbcc-4ac3-8b5c-adb2cee3698b","0","GW3RMUC32","PCPTHO_RC0109CM_K1,IC:A","0","9","","0","0","0","0","0","0","0","0","0","0","1","0","0","0","0","0","0","0","0","0","0"
"DESetAnalog","18046","873e7d9e-f89c-4744-b5be-5f7d8de288ef","0","GW3RMUC32","PCPTHO_RC0109CM_K2,IC:A","0","10","","0","0","0","0","0","0","0","0","0","0","1","0","0","0","0","0","0","0","0","0","0"
"DESetAnalog","18047","154f937b-3c45-40bd-b9b3-80aefcec50eb","0","GW3RMUC32","PCPTHO_RC0109CM_K3,IC:A","0","11","","0","0","0","0","0","0","0","0","0","0","1","0","0","0","0","0","0","0","0","0","0"
"DESetAnalog","18048","e6ecf002-bad0-4909-999f-fe566772814b","0","GW3RMUC32","PCPTHO_RC0109CM_K2,PSUM:A","0","12","","0","0","0","0","0","0","0","0","0","0","1","0","0","0","0","0","0","0","0","0","0"
"DESetAnalog","18049","c2f611b1-e172-4665-9f93-0b6d122f154d","0","GW3RMUC32","PCPTHO_RC0109CM_K3,PSUM:A","0","13","","0","0","0","0","0","0","0","0","0","0","1","0","0","0","0","0","0","0","0","0","0"
"DESetAnalog","18050","4ca5dfdf-6ec8-4531-ac6e-b72023b108c6","0","GW3RMUC32","PCPTHO_RC0109CM_K1,PSUM:A","0","14","","0","0","0","0","0","0","0","0","0","0","1","0","0","0","0","0","0","0","0","0","0"
"DESetAnalog","18051","6d4e7ebd-4e37-4eaa-bcdc-4ce1115bdcde","0","GW3RMUC32","PCPTHO_RC0109CM_K4,PSUM:A","0","15","","0","0","0","0","0","0","0","0","0","0","1","0","0","0","0","0","0","0","0","0","0"
"DESetAnalog","18052","57580ce4-da4d-4c08-a588-7eeae590738f","0","GW3RMUC32","PCPTHO_RC0109CM_K4,QSUM:A","0","16","","0","0","0","0","0","0","0","0","0","0","1","0","0","0","0","0","0","0","0","0","0"
"DESetAnalog","18053","9b032490-bf4e-4abf-9710-c7cad755a7cf","0","GW3RMUC32","PCPTHO_RC0109CM_K1,QSUM:A","0","17","","0","0","0","0","0","0","0","0","0","0","1","0","0","0","0","0","0","0","0","0","0"
