"TABLE","PKEY","NAME","PROJECTID","SETID","PID","ADDRSLCT","ADDRESS","ALIAS","ALIASTYPE","P1","P2","P3","P4","P5","P6","P7","P8","TYPE","FORMAT","ISSBO"
"DESetControl","4470","4f42b9a5-05ea-4313-8c1f-aca046259408","0","GW3RMUC32","PCPTHO_RC0109CM_K1,LBS:S","0","0","","0","0","0","0","0","0","0","0","0","0","0","0"
"DESetControl","4471","a10d1058-5bd2-42ec-bf7a-e3a41ee056da","0","GW3RMUC32","PCPTHO_RC0109CM_K3,LBS:S","0","1","","0","0","0","0","0","0","0","0","0","0","0","0"
"DESetControl","4472","3293042e-c395-4e57-84b9-ac4f715c5491","0","GW3RMUC32","PCPTHO_RC0109CM_K2,LBS:S","0","2","","0","0","0","0","0","0","0","0","0","0","0","0"
"DESetControl","4473","a2d91457-83eb-42ab-8023-e4c5457b1377","0","GW3RMUC32","PCPTHO_RC0109CM_K4,LBS:S","0","3","","0","0","0","0","0","0","0","0","0","0","0","0"
"DESetControl","4474","91711ba6-febf-45ff-a1b5-8e2bc66ca3a4","0","GW3RMUC32","PCPTHO_RC0110CM_K3,LBS:S","0","4","","0","0","0","0","0","0","0","0","0","0","0","0"
"DESetControl","4475","a946aac9-a851-4b58-9e49-516fe05beaab","0","GW3RMUC32","PCPTHO_RC0110CM_K1,LBS:S","0","5","","0","0","0","0","0","0","0","0","0","0","0","0"
"DESetControl","4476","cf3414f1-6b5f-4424-8c12-e247654c6766","0","GW3RMUC32","PCPTHO_RC0110CM_K2,LBS:S","0","6","","0","0","0","0","0","0","0","0","0","0","0","0"
