"TABLE","PKEY","NAME","PROJECTID","SETID","PID","ADDRSLCT","ADDRESS","ALIAS","ALIASTYPE","P1","P2","P3","P4","P5","P6","P7","P8","TYPE","FORMAT","ISMODIFY","MSINPUT","MSOUTPUT","MSAUTOSUBS"
"DESetStatus","14559","87fdfce4-a752-4895-89fe-c6293a26f89f","0","GW3RMUC10","PCPTHO_RC0014CM_COMMON,ACCB:S","0","1006","","0","0","0","0","0","0","0","0","0","0","1","0","0","0","0"
"DESetStatus","14560","4ff3ec79-595b-43d4-b088-1b0a5314196b","0","GW3RMUC10","PCPTHO_RC0014CM_K3,ANPU:S","0","1164","","0","0","0","0","1","0","0","0","0","0","1","0","0","0","0"
"DESetStatus","14561","4f478fdc-9b82-416d-8f94-3a706865796e","0","GW3RMUC10","PCPTHO_RC0014CM_K2,ANPU:S","0","1114","","0","0","0","0","1","0","0","0","0","0","1","0","0","0","0"
"DESetStatus","14562","c6cfba31-0209-4f8d-a8b1-16df789a0e68","0","GW3RMUC10","PCPTHO_RC0014CM_K1,ANPU:S","0","1064","","0","0","0","0","1","0","0","0","0","0","1","0","0","0","0"
"DESetStatus","14563","20e961ca-3ff0-4f50-9fa8-7e3f20bf67d0","0","GW3RMUC10","PCPTHO_RC0014CM_K1,BALR:S","0","5","","0","0","0","0","0","0","0","0","0","0","1","0","0","0","0"
"DESetStatus","14564","42426bfa-9264-4207-9639-7612098a58ee","0","GW3RMUC10","PCPTHO_RC0014CM_K3,BALR:S","0","6","","0","0","0","0","0","0","0","0","0","0","1","0","0","0","0"
"DESetStatus","14565","feb0c023-881a-4c6b-b7ea-7bafdc2ad151","0","GW3RMUC10","PCPTHO_RC0014CM_COMMON,BALR:S","0","1009","","0","0","0","0","1","0","0","0","0","0","6","0","0","0","0"
"DESetStatus","14566","6c77c7ba-9f5f-410c-98b5-c0b54d2918b0","0","GW3RMUC10","PCPTHO_RC0014CM_K2,BALR:S","0","9","","0","0","0","0","0","0","0","0","0","0","1","0","0","0","0"
"DESetStatus","14567","8e2cb187-f51f-4804-92bb-a16fb029b532","0","GW3RMUC10","PCPTHO_RC0014CM_COMMON,BCEC:S","0","1003","","0","0","0","0","0","0","0","0","0","0","1","0","0","0","0"
"DESetStatus","14568","b5e34680-8427-4674-83ac-9abfbca25317","0","GW3RMUC10","PCPTHO_RC0014CM_COMMON,BCNU:S","0","1001","","0","0","0","0","0","0","0","0","0","0","1","0","0","0","0"
