"TABLE","PKEY","NAME","PROJECTID","SETID","PID","ADDRSLCT","ADDRESS","ALIAS","ALIASTYPE","P1","P2","P3","P4","P5","P6","P7","P8","TYPE","FORMAT","ISSCALE","SCALEOFFST","SCALEFACT","ISDEADBAND","DEADBAND","ISMODIFY","MSINPUT","MSOUTPUT","MSAUTOSUBS","MSUNIT"
"DESetAnalog","465","1606bf3b-708e-493b-869c-a72970a0bca3","0","GW3RMUC14","PCPTHO_RC0047CM_K1,IA:A","0","5701","","0","0","0","0","0","0","0","0","0","0","2","0","1","1","1","0","0","0","0","1","0"
"DESetAnalog","466","d56b8277-7d7f-4b16-80db-3399715ae694","0","GW3RMUC14","PCPTHO_RC0047CM_K2,IA:A","0","5751","","0","0","0","0","0","0","0","0","0","0","2","0","1","1","1","0","0","0","0","1","0"
"DESetAnalog","468","fbfdae5c-1539-4239-bee2-30d2973d9150","0","GW3RMUC14","PCPTHO_RC0047CM_K3,IA:A","0","5801","","0","0","0","0","0","0","0","0","0","0","2","0","1","1","1","0","0","0","0","1","0"
"DESetAnalog","469","eb88b368-2a98-4591-a7c8-cdd725b17b36","0","GW3RMUC14","PCPTHO_RC0047CM_K4,IA:A","0","5851","","0","0","0","0","0","0","0","0","0","0","2","0","1","1","1","0","0","0","0","1","0"
"DESetAnalog","470","9d276b9c-7820-49a1-bbad-fdde8bc88d9a","0","GW3RMUC14","PCPTHO_RC0047CM_K3,IB:A","0","5802","","0","0","0","0","0","0","0","0","0","0","2","0","1","1","1","0","0","0","0","1","0"
"DESetAnalog","472","92fe3d39-7cc8-4bc3-9bc9-ba2ffb388fc7","0","GW3RMUC14","PCPTHO_RC0047CM_K2,IB:A","0","5752","","0","0","0","0","0","0","0","0","0","0","2","0","1","1","1","0","0","0","0","1","0"
"DESetAnalog","473","1722ba3d-3ef1-4349-baed-424282c8c1b0","0","GW3RMUC14","PCPTHO_RC0047CM_K4,IB:A","0","5852","","0","0","0","0","0","0","0","0","0","0","2","0","1","1","1","0","0","0","0","1","0"
"DESetAnalog","475","7c3e7914-9b60-4f52-8450-f6fc93ec1210","0","GW3RMUC14","PCPTHO_RC0047CM_K1,IB:A","0","5702","","0","0","0","0","0","0","0","0","0","0","2","0","1","1","1","0","0","0","0","1","0"
"DESetAnalog","477","ec511793-4e31-42ea-b5ac-2a01f5d71638","0","GW3RMUC14","PCPTHO_RC0047CM_K1,IC:A","0","5703","","0","0","0","0","0","0","0","0","0","0","2","0","1","1","1","0","0","0","0","1","0"
"DESetAnalog","478","a9d9b655-a54c-487c-a6cf-637b9d744b06","0","GW3RMUC14","PCPTHO_RC0047CM_K3,IC:A","0","5803","","0","0","0","0","0","0","0","0","0","0","2","0","1","1","1","0","0","0","0","1","0"
"DESetAnalog","479","eaf0f6dd-b121-4d3d-96b9-eee0e53472ed","0","GW3RMUC14","PCPTHO_RC0047CM_K2,IC:A","0","5753","","0","0","0","0","0","0","0","0","0","0","2","0","1","1","1","0","0","0","0","1","0"
"DESetAnalog","481","f8a1a46c-f283-40a4-9b95-872eb93637b9","0","GW3RMUC14","PCPTHO_RC0047CM_K4,IC:A","0","5853","","0","0","0","0","0","0","0","0","0","0","2","0","1","1","1","0","0","0","0","1","0"
"DESetAnalog","482","d5730857-daac-48f6-a665-336b68c1fd7c","0","GW3RMUC14","PCPTHO_RC0047CM_K1,IN:A","0","5704","","0","0","0","0","0","0","0","0","0","0","2","0","1","0","0","0","0","0","0","1","0"
"DESetAnalog","483","a9616eae-4073-4d8e-9f6a-adc13c763ec6","0","GW3RMUC14","PCPTHO_RC0047CM_K2,IN:A","0","5754","","0","0","0","0","0","0","0","0","0","0","2","0","1","0","0","0","0","0","0","1","0"
"DESetAnalog","485","c747a5c6-bf39-4cac-a161-0bc20e587c78","0","GW3RMUC14","PCPTHO_RC0047CM_K3,IN:A","0","5804","","0","0","0","0","0","0","0","0","0","0","2","0","1","0","0","0","0","0","0","1","0"
"DESetAnalog","487","c647ce2e-1df5-4037-8101-ac53cc2ab930","0","GW3RMUC14","PCPTHO_RC0047CM_K4,IN:A","0","5854","","0","0","0","0","0","0","0","0","0","0","2","0","1","0","0","0","0","0","0","1","0"
"DESetAnalog","489","1712ab2d-cb9e-4e39-90e7-ff0686c413f7","0","GW3RMUC14","PCPTHO_RC0047CM_K1,PF:A","0","5710","","0","0","0","0","0","0","0","0","0","0","2","0","1","0","0","0","0","0","0","1","0"
"DESetAnalog","490","a85336e7-0d40-4300-aa30-dd959e8b09d5","0","GW3RMUC14","PCPTHO_RC0047CM_K4,PF:A","0","5860","","0","0","0","0","0","0","0","0","0","0","2","0","1","0","0","0","0","0","0","1","0"
"DESetAnalog","491","e61cacd8-231a-426a-8560-e3c5d2783d68","0","GW3RMUC14","PCPTHO_RC0047CM_K3,PF:A","0","5810","","0","0","0","0","0","0","0","0","0","0","2","0","1","0","0","0","0","0","0","1","0"
"DESetAnalog","493","6d23b763-51d9-4ce5-b180-e965208ada4e","0","GW3RMUC14","PCPTHO_RC0047CM_K2,PF:A","0","5760","","0","0","0","0","0","0","0","0","0","0","2","0","1","0","0","0","0","0","0","1","0"
"DESetAnalog","732","f23c2a80-94b0-42fb-aed9-2c1cb2420dbd","0","GW3RMUC14","PCPTHO_RC0047CM_K1,PSUM:A","0","5708","","0","0","0","0","0","0","0","0","0","0","2","0","1","1","20","0","0","0","0","1","0"
"DESetAnalog","733","32d79371-4f70-4cd5-8bb8-8a38e2d23320","0","GW3RMUC14","PCPTHO_RC0047CM_K2,PSUM:A","0","5758","","0","0","0","0","0","0","0","0","0","0","2","0","1","1","20","0","0","0","0","1","0"
"DESetAnalog","734","be960cd0-c9fd-4382-933a-3d3558ebdd33","0","GW3RMUC14","PCPTHO_RC0047CM_K3,PSUM:A","0","5808","","0","0","0","0","0","0","0","0","0","0","2","0","1","1","20","0","0","0","0","1","0"
"DESetAnalog","747","a13ca293-fc52-4dfc-8ad1-9cefb082ecd7","0","GW3RMUC14","PCPTHO_RC0047CM_K4,PSUM:A","0","5858","","0","0","0","0","0","0","0","0","0","0","2","0","1","1","20","0","0","0","0","1","0"
"DESetAnalog","748","5c6b8b24-4d37-4d8c-9277-761c8158e944","0","GW3RMUC14","PCPTHO_RC0047CM_K1,QSUM:A","0","5709","","0","0","0","0","0","0","0","0","0","0","2","0","1","1","10","0","0","0","0","1","0"
"DESetAnalog","749","9ebbc191-b49d-4468-9430-d8b619f882fb","0","GW3RMUC14","PCPTHO_RC0047CM_K4,QSUM:A","0","5859","","0","0","0","0","0","0","0","0","0","0","2","0","1","1","10","0","0","0","0","1","0"
"DESetAnalog","762","aa2c88f4-9040-4741-8d95-988b4d1ccd97","0","GW3RMUC14","PCPTHO_RC0047CM_K2,QSUM:A","0","5759","","0","0","0","0","0","0","0","0","0","0","2","0","1","1","10","0","0","0","0","1","0"
"DESetAnalog","763","94862264-5fc6-498b-a48a-8a7f264f14f8","0","GW3RMUC14","PCPTHO_RC0047CM_K3,QSUM:A","0","5809","","0","0","0","0","0","0","0","0","0","0","2","0","1","1","10","0","0","0","0","1","0"
"DESetAnalog","764","5fedf444-0584-449d-97db-32d10f229098","0","GW3RMUC14","PCPTHO_RC0047CM_K1,VAB:A","0","5705","","0","0","0","0","0","0","0","0","0","0","2","0","1","0","0","0","0","0","0","1","0"
"DESetAnalog","777","43cfc349-3a87-44c5-81ce-3b63032bc4f0","0","GW3RMUC14","PCPTHO_RC0047CM_K2,VAB:A","0","5755","","0","0","0","0","0","0","0","0","0","0","2","0","1","0","0","0","0","0","0","1","0"
"DESetAnalog","778","69edc04a-c57f-4895-99a0-2f262a437eb2","0","GW3RMUC14","PCPTHO_RC0047CM_K3,VAB:A","0","5805","","0","0","0","0","0","0","0","0","0","0","2","0","1","0","0","0","0","0","0","1","0"
"DESetAnalog","779","94bc3849-4922-4429-8969-571b46e93ea8","0","GW3RMUC14","PCPTHO_RC0047CM_K4,VAB:A","0","5855","","0","0","0","0","0","0","0","0","0","0","2","0","1","0","0","0","0","0","0","1","0"
"DESetAnalog","2895","a23c540b-5ef9-45c5-ad9d-d7186bdc73d8","0","GW3RMUC14","PCPTHO_RC0047CM_K2,VBC:A","0","5756","","0","0","0","0","0","0","0","0","0","0","2","0","1","0","0","0","0","0","0","1","0"
"DESetAnalog","9469","66b25354-5548-473d-a632-c3a08175a188","0","GW3RMUC14","PCPTHO_RC0043CM_K3,IA:A","0","5151","","0","0","0","0","0","0","0","0","0","0","2","0","1","1","1","0","0","0","0","1","0"
"DESetAnalog","9470","81fef651-6ccf-4d64-9fdb-4e5804b483a3","0","GW3RMUC14","PCPTHO_RC0043CM_K1,IA:A","0","5051","","0","0","0","0","0","0","0","0","0","0","2","0","1","1","1","0","0","0","0","1","0"
"DESetAnalog","9471","2a3c50af-237c-405d-a7b6-3fa278bddc66","0","GW3RMUC14","PCPTHO_RC0043CM_K2,IA:A","0","5101","","0","0","0","0","0","0","0","0","0","0","2","0","1","1","1","0","0","0","0","1","0"
"DESetAnalog","9472","365cf8af-4aaf-4c3b-ae7c-87cfa5cf226e","0","GW3RMUC14","PCPTHO_RC0043CM_K2,IB:A","0","5102","","0","0","0","0","0","0","0","0","0","0","2","0","1","1","1","0","0","0","0","1","0"
"DESetAnalog","9473","820c25e6-6290-4e36-a804-7beb07c2e39a","0","GW3RMUC14","PCPTHO_RC0043CM_K3,IB:A","0","5152","","0","0","0","0","0","0","0","0","0","0","2","0","1","1","1","0","0","0","0","1","0"
"DESetAnalog","9474","b8fba9c8-c81c-4090-9d8c-ea5d0e53916c","0","GW3RMUC14","PCPTHO_RC0043CM_K1,IB:A","0","5052","","0","0","0","0","0","0","0","0","0","0","2","0","1","1","1","0","0","0","0","1","0"
