"TABLE","PKEY","NAME","PROJECTID","SETID","PID","ADDRSLCT","ADDRESS","ALIAS","ALIASTYPE","P1","P2","P3","P4","P5","P6","P7","P8","TYPE","FORMAT","ISSBO"
"DESetControl","2752","90136c2c-3e04-4898-b755-8002ae3909d2","0","GW3RMUC10","PCPTHO_RC0014CM_K3,LBS:S","0","20061","","0","0","0","0","0","0","0","0","0","0","0","0"
"DESetControl","2753","1f2ff284-2c5c-44e8-8eda-c22e3287d83b","0","GW3RMUC10","PCPTHO_RC0014CM_K1,LBS:S","0","20021","","0","0","0","0","0","0","0","0","0","0","0","0"
"DESetControl","2754","b4c64b17-4fb4-49fa-ac56-751a6abb9818","0","GW3RMUC10","PCPTHO_RC0014CM_K2,LBS:S","0","20041","","0","0","0","0","0","0","0","0","0","0","0","0"
"DESetControl","2755","a9b6653c-1331-4e93-90d8-b0e3b4e0ef24","0","GW3RMUC10","PCPTHO_RC0014CM_COMMON,RETG:S","0","20001","","0","0","0","0","0","0","0","0","0","0","0","0"
"DESetControl","2756","2939f694-6bb3-41e9-aa7a-07429aaf3960","0","GW3RMUC10","PCPTHO_RC0014CM_K2,SECL:S","0","20042","","0","0","0","0","0","0","0","0","0","0","0","0"
"DESetControl","2757","5bca7083-dd90-4af0-8353-b8dbf2b1ac4c","0","GW3RMUC10","PCPTHO_RC0014CM_K3,SECL:S","0","20062","","0","0","0","0","0","0","0","0","0","0","0","0"
"DESetControl","2758","4a5d5f99-5b52-4fa1-802b-2f682f0ae28c","0","GW3RMUC10","PCPTHO_RC0014CM_K1,SECL:S","0","20022","","0","0","0","0","0","0","0","0","0","0","0","0"
"DESetControl","2759","6bc325dd-6616-4da5-ae98-12c967e16c4a","0","GW3RMUC10","PCPTHO_RC0015CM_K1,LBS:S","0","20281","","0","0","0","0","0","0","0","0","0","0","0","0"
"DESetControl","2760","35698efa-e2d1-4f82-8386-4730bb3d134a","0","GW3RMUC10","PCPTHO_RC0015CM_K2,LBS:S","0","20301","","0","0","0","0","0","0","0","0","0","0","0","0"
"DESetControl","2761","4feaa085-56db-435b-b883-174a644189a5","0","GW3RMUC10","PCPTHO_RC0015CM_K3,LBS:S","0","20321","","0","0","0","0","0","0","0","0","0","0","0","0"
"DESetControl","2762","ecb0d7ae-99d2-4b71-b06d-4ff0e5b9e703","0","GW3RMUC10","PCPTHO_RC0015CM_COMMON,RETG:S","0","20261","","0","0","0","0","0","0","0","0","0","0","0","0"
"DESetControl","2763","4b0109df-063f-4791-b85a-0d19e4c80cec","0","GW3RMUC10","PCPTHO_RC0015CM_K1,SECL:S","0","20282","","0","0","0","0","0","0","0","0","0","0","0","0"
"DESetControl","2764","7a221047-f1f4-418b-b380-6503e9d903be","0","GW3RMUC10","PCPTHO_RC0015CM_K2,SECL:S","0","20302","","0","0","0","0","0","0","0","0","0","0","0","0"
"DESetControl","2765","a1b4155f-9e15-4812-b20b-ad3f1380a854","0","GW3RMUC10","PCPTHO_RC0015CM_K3,SECL:S","0","20322","","0","0","0","0","0","0","0","0","0","0","0","0"
"DESetControl","4459","b7a32e9e-703f-48ce-b3a5-39852896b690","0","GW3RMUC10","PCPTHO_RC0115CM_K2,LBS:S","0","20323","","0","0","0","0","0","0","0","0","0","0","0","0"
"DESetControl","4460","1f6bd46d-2c32-4e3d-a762-a3f522804420","0","GW3RMUC10","PCPTHO_RC0115CM_K1,LBS:S","0","20324","","0","0","0","0","0","0","0","0","0","0","0","0"
"DESetControl","4461","a07ea1d5-82c5-4184-8370-7e0608bafb38","0","GW3RMUC10","PCPTHO_RC0115CM_K4,LBS:S","0","20325","","0","0","0","0","0","0","0","0","0","0","0","0"
"DESetControl","4462","2a13d48d-5b50-4cdf-b9db-f9f8d09de2cb","0","GW3RMUC10","PCPTHO_RC0115CM_K3,LBS:S","0","20326","","0","0","0","0","0","0","0","0","0","0","0","0"
"DESetControl","4463","cc252346-4fb2-4b45-a887-26c4adba24a2","0","GW3RMUC10","PCPTHO_RC0116CM_K2,LBS:S","0","20327","","0","0","0","0","0","0","0","0","0","0","0","0"
"DESetControl","4464","60cc9275-d01a-439e-94af-413aa00498ae","0","GW3RMUC10","PCPTHO_RC0116CM_K1,LBS:S","0","20328","","0","0","0","0","0","0","0","0","0","0","0","0"
"DESetControl","4465","9dd1c977-079a-46f5-a970-5f26677d3f65","0","GW3RMUC10","PCPTHO_RC0116CM_K3,LBS:S","0","20329","","0","0","0","0","0","0","0","0","0","0","0","0"
"DESetControl","4466","05357b7e-e048-4676-931e-fc233ad4b2ed","0","GW3RMUC10","PCPTHO_RC0116CM_COMMON,RETG:S","0","20330","","0","0","0","0","0","0","0","0","0","0","0","0"
