"TABLE","PKEY","NAME","PROJECTID","SETID","PID","ADDRSLCT","ADDRESS","ALIAS","ALIASTYPE","P1","P2","P3","P4","P5","P6","P7","P8","TYPE","FORMAT","ISMODIFY","MSINPUT","MSOUTPUT","MSAUTOSUBS"
"DESetStatus","4881","b4d9a2e3-0a8b-4346-9439-71fdfaeb35e5","0","GW3RMUC14","PCPTHO_RC0047CM_COMMON,ACCB:S","0","1656","","0","0","0","0","0","0","0","0","0","0","1","0","0","0","0"
"DESetStatus","4893","f5267380-f79b-404e-97b0-20699460cdde","0","GW3RMUC14","PCPTHO_RC0047CM_K3,ANPU:S","0","1814","","0","0","0","0","0","0","0","0","0","0","1","0","0","0","0"
"DESetStatus","4894","f95cc594-d327-4949-aa5c-98d714bcd267","0","GW3RMUC14","PCPTHO_RC0047CM_K2,ANPU:S","0","1764","","0","0","0","0","0","0","0","0","0","0","1","0","0","0","0"
"DESetStatus","4895","02517fa6-9147-4e79-9040-7b33026b6f58","0","GW3RMUC14","PCPTHO_RC0047CM_K4,ANPU:S","0","1864","","0","0","0","0","0","0","0","0","0","0","1","0","0","0","0"
"DESetStatus","4896","13114a5a-ecf1-4bb6-b6c3-965f41511ca4","0","GW3RMUC14","PCPTHO_RC0047CM_K1,ANPU:S","0","1714","","0","0","0","0","0","0","0","0","0","0","1","0","0","0","0"
"DESetStatus","5740","13ec6383-0fb2-4ba1-87b2-a49ed32fbcbd","0","GW3RMUC14","PCPTHO_RC0047CM_COMMON,BALR:S","0","1659","","0","0","0","0","0","0","0","0","0","0","6","0","0","0","0"
"DESetStatus","5741","406cb38b-7d22-4132-b37a-5807dceac983","0","GW3RMUC14","PCPTHO_RC0047CM_COMMON,BCEC:S","0","1653","","0","0","0","0","0","0","0","0","0","0","1","0","0","0","0"
"DESetStatus","5742","8987182a-20b8-48bf-bc17-e54a0620dfdd","0","GW3RMUC14","PCPTHO_RC0047CM_COMMON,BCNU:S","0","1651","","0","0","0","0","0","0","0","0","0","0","1","0","0","0","0"
"DESetStatus","5743","4a1224df-7dcb-4cf7-917f-c5eab1de2b2f","0","GW3RMUC14","PCPTHO_RC0047CM_COMMON,BCUF:S","0","1652","","0","0","0","0","0","0","0","0","0","0","1","0","0","0","0"
"DESetStatus","5744","06b255aa-70f7-48e0-8af5-337be202c824","0","GW3RMUC14","PCPTHO_RC0047CM_K1,CMER:S","0","1707","","0","0","0","0","0","0","0","0","0","0","1","0","0","0","0"
"DESetStatus","5745","7e94a390-8d4e-4a69-bb68-afa6672fafc0","0","GW3RMUC14","PCPTHO_RC0047CM_K2,CMER:S","0","1757","","0","0","0","0","0","0","0","0","0","0","1","0","0","0","0"
"DESetStatus","5746","478a2117-8141-442e-b904-28c943bd342c","0","GW3RMUC14","PCPTHO_RC0047CM_K3,CMER:S","0","1807","","0","0","0","0","0","0","0","0","0","0","1","0","0","0","0"
"DESetStatus","5747","ef701f57-b217-4776-9749-327c7cd294c6","0","GW3RMUC14","PCPTHO_RC0047CM_K4,CMER:S","0","1857","","0","0","0","0","0","0","0","0","0","0","1","0","0","0","0"
"DESetStatus","5748","474d056c-10ab-4fdf-895c-792bf792862b","0","GW3RMUC14","PCPTHO_RC0047CM_K1,DC24:S","0","1705","","0","0","0","0","0","0","0","0","0","0","1","0","0","0","0"
"DESetStatus","5749","07d999f5-5ee1-4a64-808b-8f897c39b36f","0","GW3RMUC14","PCPTHO_RC0047CM_K2,DC24:S","0","1755","","0","0","0","0","0","0","0","0","0","0","1","0","0","0","0"
"DESetStatus","5750","552568df-7b17-43c8-ac99-e4680ac8bbc5","0","GW3RMUC14","PCPTHO_RC0047CM_K3,DC24:S","0","1805","","0","0","0","0","0","0","0","0","0","0","1","0","0","0","0"
"DESetStatus","5751","18078c69-6d82-4c7b-b3d8-30cef03e1031","0","GW3RMUC14","PCPTHO_RC0047CM_K4,DC24:S","0","1855","","0","0","0","0","0","0","0","0","0","0","1","0","0","0","0"
"DESetStatus","5752","fc867258-76ef-4d9f-918a-d4f8f87fab26","0","GW3RMUC14","PCPTHO_RC0047CM_COMMON,DCCB:S","0","1655","","0","0","0","0","0","0","0","0","0","0","1","0","0","0","0"
"DESetStatus","5753","0993bd7b-f109-4e71-bd50-3bcb9f29209a","0","GW3RMUC14","PCPTHO_RC0047CM_COMMON,DOOR:S","0","1658","","0","0","0","0","0","0","0","0","0","0","1","0","0","0","0"
"DESetStatus","5754","f496f4b6-52c9-4b13-9412-99e0b1bbd268","0","GW3RMUC14","PCPTHO_RC0047CM_T2,ES:S","0","2053","","0","0","0","0","0","0","0","0","0","0","5","0","0","0","0"
"DESetStatus","5755","72c6cdd9-f951-45c0-a61e-5bbb1362dbeb","0","GW3RMUC14","PCPTHO_RC0047CM_K3,ES:S","0","1816","","0","0","0","0","0","0","0","0","0","0","5","0","0","0","0"
"DESetStatus","6704","68b98f8e-4763-44ac-9f15-7eb5c6843c70","0","GW3RMUC14","PCPTHO_RC0047CM_K1,ES:S","0","1716","","0","0","0","0","0","0","0","0","0","0","5","0","0","0","0"
"DESetStatus","6715","867d7eae-795b-432f-8b9f-73cb3a658da7","0","GW3RMUC14","PCPTHO_RC0047CM_T1,ES:S","0","2003","","0","0","0","0","0","0","0","0","0","0","5","0","0","0","0"
"DESetStatus","6732","9fb71d43-758e-420c-adb9-33830f85df7c","0","GW3RMUC14","PCPTHO_RC0047CM_K4,ES:S","0","1866","","0","0","0","0","0","0","0","0","0","0","5","0","0","0","0"
"DESetStatus","15224","4184ad98-c50c-4b21-892b-699b8e96ae7f","0","GW3RMUC14","PCPTHO_RC0043CM_COMMON,ACCB:S","0","1006","","0","1","0","0","0","0","0","0","0","0","1","0","0","0","0"
"DESetStatus","15225","9a0d0727-86b5-4fe2-bc4a-f7dcceecce41","0","GW3RMUC14","PCPTHO_RC0043CM_K3,ANPU:S","0","1164","","0","1","0","0","1","0","0","0","0","0","1","0","0","0","0"
"DESetStatus","15226","50940d7d-a7b0-4c4b-af84-a19627864264","0","GW3RMUC14","PCPTHO_RC0043CM_K2,ANPU:S","0","1114","","0","1","0","0","1","0","0","0","0","0","1","0","0","0","0"
"DESetStatus","15227","cddf5224-581c-4487-b2d4-0c6feda0e825","0","GW3RMUC14","PCPTHO_RC0043CM_K1,ANPU:S","0","1064","","0","1","0","0","1","0","0","0","0","0","1","0","0","0","0"
"DESetStatus","15231","e07eda89-9589-428f-9915-c00cedfea9ae","0","GW3RMUC14","PCPTHO_RC0043CM_COMMON,BALR:S","0","1009","","0","1","0","0","1","0","0","0","0","0","6","0","0","0","0"
"DESetStatus","15232","8da77b98-a9b2-4de3-b6c0-14ddcc8cfb0d","0","GW3RMUC14","PCPTHO_RC0043CM_COMMON,BCEC:S","0","1003","","0","1","0","0","0","0","0","0","0","0","1","0","0","0","0"
"DESetStatus","15233","13bdaf71-b3a0-439b-96d8-d85fe61196c4","0","GW3RMUC14","PCPTHO_RC0043CM_COMMON,BCNU:S","0","1001","","0","1","0","0","0","0","0","0","0","0","1","0","0","0","0"
"DESetStatus","15234","9ab9e2ea-1171-47b4-a444-4297ee042a2d","0","GW3RMUC14","PCPTHO_RC0043CM_COMMON,BCUF:S","0","1002","","0","1","0","0","0","0","0","0","0","0","1","0","0","0","0"
"DESetStatus","15235","3245d0f0-e7ca-447d-8cce-3ec6aee70633","0","GW3RMUC14","PCPTHO_RC0043CM_K2,CMER:S","0","1107","","0","1","0","0","0","0","0","0","0","0","1","0","0","0","0"
"DESetStatus","15236","4875ea57-930a-4e05-a829-a3070746e17f","0","GW3RMUC14","PCPTHO_RC0043CM_K1,CMER:S","0","1057","","0","1","0","0","0","0","0","0","0","0","1","0","0","0","0"
"DESetStatus","15237","146e410d-f622-4812-ad3b-3fe25bb2c219","0","GW3RMUC14","PCPTHO_RC0043CM_K3,CMER:S","0","1157","","0","1","0","0","0","0","0","0","0","0","1","0","0","0","0"
"DESetStatus","15238","67d5d734-cd74-452b-9494-19f45459f46d","0","GW3RMUC14","PCPTHO_RC0043CM_K1,DC24:S","0","1055","","0","1","0","0","0","0","0","0","0","0","1","0","0","0","0"
"DESetStatus","15239","61b21968-41a0-4609-8110-605563a64848","0","GW3RMUC14","PCPTHO_RC0043CM_K2,DC24:S","0","1105","","0","1","0","0","0","0","0","0","0","0","1","0","0","0","0"
"DESetStatus","15240","8a64f474-8848-4597-b9a2-72206c307d8e","0","GW3RMUC14","PCPTHO_RC0043CM_K3,DC24:S","0","1155","","0","1","0","0","0","0","0","0","0","0","1","0","0","0","0"
"DESetStatus","15241","e8890b4b-5d98-474f-a7e5-b87d437a345b","0","GW3RMUC14","PCPTHO_RC0043CM_COMMON,DCCB:S","0","1005","","0","1","0","0","0","0","0","0","0","0","1","0","0","0","0"
"DESetStatus","15242","abc701ac-4914-4a04-8e6c-8fca31538128","0","GW3RMUC14","PCPTHO_RC0043CM_COMMON,DOOR:S","0","1008","","0","1","0","0","0","0","0","0","0","0","1","0","0","0","0"
"DESetStatus","15243","b6795e8e-43cf-40fa-9adc-96cafa32723f","0","GW3RMUC14","PCPTHO_RC0043CM_K1,ES:S","0","1066","","0","1","0","0","0","0","0","0","0","0","5","0","0","0","0"
"DESetStatus","15244","72fe8a99-73ec-4019-be8e-b5eb1967ae4f","0","GW3RMUC14","PCPTHO_RC0043CM_K2,ES:S","0","1116","","0","1","0","0","0","0","0","0","0","0","5","0","0","0","0"
"DESetStatus","15245","41a0bfb9-9048-4a67-8068-d2fc9716631d","0","GW3RMUC14","PCPTHO_RC0043CM_K3,ES:S","0","1166","","0","1","0","0","0","0","0","0","0","0","5","0","0","0","0"
