"TABLE","PKEY","NAME","PROJECTID","SETID","PID","ADDRSLCT","ADDRESS","ALIAS","ALIASTYPE","P1","P2","P3","P4","P5","P6","P7","P8","TYPE","FORMAT","ISMODIFY","MSINPUT","MSOUTPUT","MSAUTOSUBS"
"DESetStatus","21603","9c06284b-240f-46c9-9110-ba9756aeafdc","0","GW3RMUC31","PCPTHO_RC0099CM_K4,PKABC:S","0","38","","0","0","0","0","0","0","0","0","0","0","1","0","0","0","0"
"DESetStatus","21604","56cba2d2-e41c-46ad-a9cb-9d9d5a95c5a4","0","GW3RMUC31","PCPTHO_RC0099CM_K2,PKABC:S","0","39","","0","0","0","0","0","0","0","0","0","0","1","0","0","0","0"
"DESetStatus","21605","d10a1f65-51b6-4303-b0df-a03b01681c22","0","GW3RMUC31","PCPTHO_RC0099CM_K1,PKABC:S","0","40","","0","0","0","0","0","0","0","0","0","0","1","0","0","0","0"
"DESetStatus","21606","3be70bc3-2e46-4090-9351-2a5f5c5a3479","0","GW3RMUC31","PCPTHO_RC0099CM_K5,PKABC:S","0","41","","0","0","0","0","0","0","0","0","0","0","1","0","0","0","0"
"DESetStatus","21607","adf9e35b-264e-4143-af4e-ad7707cb5d10","0","GW3RMUC31","PCPTHO_RC0099CM_K3,PKABC:S","0","42","","0","0","0","0","0","0","0","0","0","0","1","0","0","0","0"
"DESetStatus","21608","467af480-131f-424f-ba74-c9a820f75814","0","GW3RMUC31","PCPTHO_RC0099CM_K1,PKPA:S","0","57","","0","0","0","0","0","0","0","0","0","0","1","0","0","0","0"
"DESetStatus","21609","d8b77716-af89-441b-9851-c0c8063c13c1","0","GW3RMUC31","PCPTHO_RC0099CM_K3,PKPA:S","0","157","","0","0","0","0","0","0","0","0","0","0","1","0","0","0","0"
"DESetStatus","21610","cc8f66b8-b50e-4f2d-b3a1-047f918a4b6b","0","GW3RMUC31","PCPTHO_RC0099CM_K4,PKPA:S","0","207","","0","0","0","0","0","0","0","0","0","0","1","0","0","0","0"
"DESetStatus","21611","d713af66-7f90-4a72-a20f-4937ec2f6553","0","GW3RMUC31","PCPTHO_RC0099CM_K5,PKPA:S","0","257","","0","0","0","0","0","0","0","0","0","0","1","0","0","0","0"
"DESetStatus","21612","c8ba8512-6e79-4f0a-b2bf-f6d93043886e","0","GW3RMUC31","PCPTHO_RC0099CM_K2,PKPA:S","0","107","","0","0","0","0","0","0","0","0","0","0","1","0","0","0","0"
"DESetStatus","21613","6e6c409e-7d61-4350-87c8-a4b67486cfba","0","GW3RMUC31","PCPTHO_RC0099CM_K4,PKPB:S","0","208","","0","0","0","0","0","0","0","0","0","0","1","0","0","0","0"
"DESetStatus","21614","8f373746-2cd6-481c-b0fb-6ed1883b7c8f","0","GW3RMUC31","PCPTHO_RC0099CM_K1,PKPB:S","0","58","","0","0","0","0","0","0","0","0","0","0","1","0","0","0","0"
"DESetStatus","21615","76c36203-cd9e-4e0e-9669-ddbfa4efc902","0","GW3RMUC31","PCPTHO_RC0099CM_K3,PKPB:S","0","158","","0","0","0","0","0","0","0","0","0","0","1","0","0","0","0"
"DESetStatus","21616","3703ae9f-cc66-4d79-8bb6-aa91a5c5be8a","0","GW3RMUC31","PCPTHO_RC0099CM_K5,PKPB:S","0","258","","0","0","0","0","0","0","0","0","0","0","1","0","0","0","0"
"DESetStatus","21617","6fc65437-470b-4514-abb7-c92f9702d53c","0","GW3RMUC31","PCPTHO_RC0099CM_K2,PKPB:S","0","108","","0","0","0","0","0","0","0","0","0","0","1","0","0","0","0"
"DESetStatus","21618","38ee634a-1691-48b0-8990-d9b9150719ba","0","GW3RMUC31","PCPTHO_RC0099CM_K4,PKPC:S","0","209","","0","0","0","0","0","0","0","0","0","0","1","0","0","0","0"
"DESetStatus","21619","e55b11e7-e43f-4f38-8ed5-1feef7fcb987","0","GW3RMUC31","PCPTHO_RC0099CM_K3,PKPC:S","0","159","","0","0","0","0","0","0","0","0","0","0","1","0","0","0","0"
"DESetStatus","21620","625e2ca7-c4ec-4207-bf41-985bdab34b17","0","GW3RMUC31","PCPTHO_RC0099CM_K5,PKPC:S","0","259","","0","0","0","0","0","0","0","0","0","0","1","0","0","0","0"
"DESetStatus","21621","144e913a-50bf-4bd4-9e95-aa990f1f28df","0","GW3RMUC31","PCPTHO_RC0099CM_K1,PKPC:S","0","59","","0","0","0","0","0","0","0","0","0","0","1","0","0","0","0"
"DESetStatus","21622","cc069e13-1a71-4f46-ba0b-a8226004541c","0","GW3RMUC31","PCPTHO_RC0099CM_K2,PKPC:S","0","109","","0","0","0","0","0","0","0","0","0","0","1","0","0","0","0"
"DESetStatus","21623","58eb3ddb-e4d1-4318-ad0d-67d08486eec7","0","GW3RMUC31","PCPTHO_RC0099CM_K2,PKPN:S","0","110","","0","0","0","0","0","0","0","0","0","0","1","0","0","0","0"
"DESetStatus","21624","9d5de1fc-6581-4dd2-af67-cce9fe2163b7","0","GW3RMUC31","PCPTHO_RC0099CM_K4,PKPN:S","0","210","","0","0","0","0","0","0","0","0","0","0","1","0","0","0","0"
"DESetStatus","21625","e5d643e9-e61d-43ee-92b8-8ad4bb04607e","0","GW3RMUC31","PCPTHO_RC0099CM_K5,PKPN:S","0","260","","0","0","0","0","0","0","0","0","0","0","1","0","0","0","0"
"DESetStatus","21626","0f971485-19e2-48a0-a9d6-07abde0a1833","0","GW3RMUC31","PCPTHO_RC0099CM_K3,PKPN:S","0","160","","0","0","0","0","0","0","0","0","0","0","1","0","0","0","0"
"DESetStatus","21627","9363a13b-9df7-48be-9ddc-f36bbc44ce10","0","GW3RMUC31","PCPTHO_RC0099CM_K1,PKPN:S","0","60","","0","0","0","0","0","0","0","0","0","0","1","0","0","0","0"
"DESetStatus","21628","dad7b202-e2cd-4227-8d45-c9e6f5bf795c","0","GW3RMUC31","PCPTHO_RC0099CM_K1,SFAL:S","0","65","","0","0","0","0","0","0","0","0","0","0","1","0","0","0","0"
"DESetStatus","21629","ea17919c-b48d-4516-9956-50c57a5365f3","0","GW3RMUC31","PCPTHO_RC0099CM_K3,SFAL:S","0","165","","0","0","0","0","0","0","0","0","0","0","1","0","0","0","0"
"DESetStatus","21630","b904c4d7-b0b5-4f7a-b4f4-7f41801ec688","0","GW3RMUC31","PCPTHO_RC0099CM_K5,SFAL:S","0","265","","0","0","0","0","0","0","0","0","0","0","1","0","0","0","0"
"DESetStatus","21631","349fc00b-2323-4361-b110-d56bea7e70f4","0","GW3RMUC31","PCPTHO_RC0099CM_K4,SFAL:S","0","215","","0","0","0","0","0","0","0","0","0","0","1","0","0","0","0"
"DESetStatus","21632","2487614f-ebbb-4397-b513-65d299d83b31","0","GW3RMUC31","PCPTHO_RC0099CM_K2,SFAL:S","0","115","","0","0","0","0","0","0","0","0","0","0","1","0","0","0","0"
"DESetStatus","21633","0038bc5c-5993-4e19-b953-bef5ac87ebc5","0","GW3RMUC31","PCPTHO_RC0099CM_K1,VAPR:S","0","66","","0","0","0","0","0","0","0","0","0","0","1","0","0","0","0"
