"TABLE","PKEY","NAME","PROJECTID","SETID","PID","ADDRSLCT","ADDRESS","ALIAS","ALIASTYPE","P1","P2","P3","P4","P5","P6","P7","P8","TYPE","FORMAT","ISMODIFY","MSINPUT","MSOUTPUT","MSAUTOSUBS"
"DESetStatus","24241","178a9c6d-f5ae-45c1-b7c6-2b981fce47ab","0","GW3RMUC32","PCPTHO_RC0109CM_K4,BALR:S","0","0","","0","0","0","0","0","0","0","0","0","0","1","0","0","0","0"
"DESetStatus","24242","027e2b57-cf1d-4315-a0e1-b38ccf0e614a","0","GW3RMUC32","PCPTHO_RC0109CM_K3,BALR:S","0","1","","0","0","0","0","0","0","0","0","0","0","1","0","0","0","0"
"DESetStatus","24243","2b59c227-94d0-4757-9c89-a0cf2a095484","0","GW3RMUC32","PCPTHO_RC0109CM_K1,BALR:S","0","2","","0","0","0","0","0","0","0","0","0","0","1","0","0","0","0"
"DESetStatus","24244","9559e471-1466-4214-8fa6-93be74a7237c","0","GW3RMUC32","PCPTHO_RC0109CM_K2,BALR:S","0","3","","0","0","0","0","0","0","0","0","0","0","1","0","0","0","0"
"DESetStatus","24245","8fd9f240-16e8-4318-9eec-6e733422a234","0","GW3RMUC32","PCPTHO_RC0109CM_K2,DC24:S","0","4","","0","0","0","0","0","0","0","0","0","0","1","0","0","0","0"
"DESetStatus","24246","5d6619b7-f669-4e45-8fd4-b142193d0e98","0","GW3RMUC32","PCPTHO_RC0109CM_K3,DC24:S","0","5","","0","0","0","0","0","0","0","0","0","0","1","0","0","0","0"
"DESetStatus","24247","bc80194d-f203-4019-8112-6962c585bc20","0","GW3RMUC32","PCPTHO_RC0109CM_K1,DC24:S","0","6","","0","0","0","0","0","0","0","0","0","0","1","0","0","0","0"
"DESetStatus","24248","98733fae-696c-4304-8bb8-bad52eb7a102","0","GW3RMUC32","PCPTHO_RC0109CM_K4,DC24:S","0","7","","0","0","0","0","0","0","0","0","0","0","1","0","0","0","0"
"DESetStatus","24249","d9db8468-3917-4942-8df2-5dbf939f5a7a","0","GW3RMUC32","PCPTHO_RC0109CM_COMMON,DCCB:S","0","8","","0","0","0","0","0","0","0","0","0","0","1","0","0","0","0"
"DESetStatus","24250","78a6e5f7-3488-4a01-b2b9-030984983759","0","GW3RMUC32","PCPTHO_RC0109CM_COMMON,DOOR:S","0","9","","0","0","0","0","0","0","0","0","0","0","1","0","0","0","0"
"DESetStatus","24251","d8b74ecc-1c7b-4980-8e9c-f4c3f22157ea","0","GW3RMUC32","PCPTHO_RC0109CM_T2,ES:S","0","10","","0","0","0","0","0","0","0","0","0","0","3","0","0","0","0"
"DESetStatus","24252","68b71ebb-5547-46dd-8f84-1f35710faaf8","0","GW3RMUC32","PCPTHO_RC0109CM_T1,ES:S","0","12","","0","0","0","0","0","0","0","0","0","0","3","0","0","0","0"
"DESetStatus","24253","df2ff336-8178-44cc-8d12-c5df3a575f2b","0","GW3RMUC32","PCPTHO_RC0109CM_K3,ES:S","0","14","","0","0","0","0","0","0","0","0","0","0","3","0","0","0","0"
"DESetStatus","24254","e2ec85bd-2752-4d7d-944a-2b0ff800dce5","0","GW3RMUC32","PCPTHO_RC0109CM_K4,ES:S","0","16","","0","0","0","0","0","0","0","0","0","0","3","0","0","0","0"
"DESetStatus","24255","7e98b848-07e7-4de2-973d-1b29f2c3792b","0","GW3RMUC32","PCPTHO_RC0109CM_K1,ES:S","0","18","","0","0","0","0","0","0","0","0","0","0","3","0","0","0","0"
"DESetStatus","24256","dcb4a5ad-9906-404c-abf6-1df8c86b55d9","0","GW3RMUC32","PCPTHO_RC0109CM_K2,ES:S","0","20","","0","0","0","0","0","0","0","0","0","0","3","0","0","0","0"
"DESetStatus","24257","402d7b4a-15cb-4a15-a27d-4bb82ff8073b","0","GW3RMUC32","PCPTHO_RC0109CM_K3,FI:S","0","22","","0","0","0","0","0","0","0","0","0","0","1","0","0","0","0"
"DESetStatus","24258","44e8ba61-96b1-455c-a579-0e5563cd63c9","0","GW3RMUC32","PCPTHO_RC0109CM_K4,FI:S","0","23","","0","0","0","0","0","0","0","0","0","0","1","0","0","0","0"
"DESetStatus","24259","04f2e303-3332-4c8d-9d95-9054156ed3c5","0","GW3RMUC32","PCPTHO_RC0109CM_K1,FI:S","0","24","","0","0","0","0","0","0","0","0","0","0","1","0","0","0","0"
"DESetStatus","24260","177f9737-a224-47f4-a7ff-211b35d89863","0","GW3RMUC32","PCPTHO_RC0109CM_K2,FI:S","0","25","","0","0","0","0","0","0","0","0","0","0","1","0","0","0","0"
"DESetStatus","24261","6277f388-2d59-49c8-86d2-85f45b1a034d","0","GW3RMUC32","PCPTHO_RC0109CM_K1,LBS:S","0","26","","0","0","0","0","0","0","0","0","0","0","3","0","0","0","0"
"DESetStatus","24262","a4c80b2e-c004-4f4b-ac8b-ed6b42b32013","0","GW3RMUC32","PCPTHO_RC0109CM_K3,LBS:S","0","28","","0","0","0","0","0","0","0","0","0","0","3","0","0","0","0"
"DESetStatus","24263","25eb4f91-45bf-4932-8158-46231ab1aef9","0","GW3RMUC32","PCPTHO_RC0109CM_T2,LBS:S","0","30","","0","0","0","0","0","0","0","0","0","0","3","0","0","0","0"
"DESetStatus","24264","9efd40e4-d479-413a-9634-81cf50235f0a","0","GW3RMUC32","PCPTHO_RC0109CM_K2,LBS:S","0","32","","0","0","0","0","0","0","0","0","0","0","3","0","0","0","0"
"DESetStatus","24265","71bc94fc-74db-4ad9-9c0a-9576e5e8deed","0","GW3RMUC32","PCPTHO_RC0109CM_T1,LBS:S","0","34","","0","0","0","0","0","0","0","0","0","0","3","0","0","0","0"
