"TABLE","PKEY","NAME","PROJECTID","SETID","PID","ADDRSLCT","ADDRESS","ALIAS","ALIASTYPE","P1","P2","P3","P4","P5","P6","P7","P8","TYPE","FORMAT","ISSBO"
"DESetControl","1166","d8bf9e55-dbe7-4956-b5bc-bd0546cfa3c7","0","GW3RMUC14","PCPTHO_RC0047CM_K4,LBS:S","0","20341","","0","0","0","0","0","0","0","0","0","0","0","0"
"DESetControl","1167","8a375520-09c6-48f6-a030-63ab15594607","0","GW3RMUC14","PCPTHO_RC0047CM_K1,LBS:S","0","20281","","0","0","0","0","0","0","0","0","0","0","0","0"
"DESetControl","2869","8e3518ad-e312-4975-81f6-d7bca5cb416c","0","GW3RMUC14","PCPTHO_RC0043CM_K3,ANPU:S","0","20063","","0","0","0","0","0","0","0","0","0","0","0","0"
"DESetControl","2870","73394b5a-a7fd-4906-92ef-9af46d78e4bf","0","GW3RMUC14","PCPTHO_RC0043CM_K2,ANPU:S","0","20043","","0","0","0","0","0","0","0","0","0","0","0","0"
"DESetControl","2871","ababfbb6-2212-4db0-9503-9c590867a0dd","0","GW3RMUC14","PCPTHO_RC0043CM_K1,ANPU:S","0","20023","","0","0","0","0","0","0","0","0","0","0","0","0"
"DESetControl","2872","38d73955-049b-4ef0-a435-0c23e5ffd012","0","GW3RMUC14","PCPTHO_RC0043CM_K1,LBS:S","0","20021","","0","0","0","0","0","0","0","0","0","0","0","0"
"DESetControl","2873","24065881-ba76-4b89-a0be-b588ae559f34","0","GW3RMUC14","PCPTHO_RC0043CM_K2,LBS:S","0","20041","","0","0","0","0","0","0","0","0","0","0","0","0"
"DESetControl","2874","ee7da74a-7c5e-4a18-9286-4c285fabc56a","0","GW3RMUC14","PCPTHO_RC0043CM_K3,LBS:S","0","20061","","0","0","0","0","0","0","0","0","0","0","0","0"
"DESetControl","2875","dbb7e934-c962-4ea7-8c74-6fb0b8f80005","0","GW3RMUC14","PCPTHO_RC0043CM_COMMON,RETG:S","0","20001","","0","0","0","0","0","0","0","0","0","0","0","0"
"DESetControl","2876","f94eab0c-924e-4e56-8dfc-6b84ff4f899b","0","GW3RMUC14","PCPTHO_RC0043CM_K2,SECL:S","0","20042","","0","0","0","0","0","0","0","0","0","0","0","0"
"DESetControl","2877","abde45fb-b6b7-4b58-b8a7-4137ddbec5ac","0","GW3RMUC14","PCPTHO_RC0043CM_K1,SECL:S","0","20022","","0","0","0","0","0","0","0","0","0","0","0","0"
"DESetControl","2878","d792c41f-6847-4ffe-b5ad-21ad431f836b","0","GW3RMUC14","PCPTHO_RC0043CM_K3,SECL:S","0","20062","","0","0","0","0","0","0","0","0","0","0","0","0"
"DESetControl","2896","0f4fd9c4-4570-45e3-93b7-d3eaffd90de7","0","GW3RMUC14","PCPTHO_RC0047CM_K3,LBS:S","0","20321","","0","0","0","0","0","0","0","0","0","0","0","0"
"DESetControl","2897","5dd6aea4-3dda-4e89-99ce-8f583652a683","0","GW3RMUC14","PCPTHO_RC0047CM_K2,LBS:S","0","20301","","0","0","0","0","0","0","0","0","0","0","0","0"
"DESetControl","2898","7cb2087d-fbbf-4aac-9804-81357817ce08","0","GW3RMUC14","PCPTHO_RC0047CM_COMMON,RETG:S","0","20261","","0","0","0","0","0","0","0","0","0","0","0","0"
"DESetControl","2952","5af5424d-9aa1-4c0c-91db-8c67a146795e","0","GW3RMUC14","PCPTHO_RC0048CM_K4,LBS:S","0","20601","","0","0","0","0","0","0","0","0","0","0","0","0"
"DESetControl","2953","8e820a73-65be-4a91-9101-53284440c2ce","0","GW3RMUC14","PCPTHO_RC0048CM_K3,LBS:S","0","20581","","0","0","0","0","0","0","0","0","0","0","0","0"
"DESetControl","2954","b66a71db-3d1d-4f83-b0e2-cb68ac422983","0","GW3RMUC14","PCPTHO_RC0048CM_K2,LBS:S","0","20561","","0","0","0","0","0","0","0","0","0","0","0","0"
"DESetControl","2955","ba6ea186-8558-42b8-8ba1-3aec1c9f7fc4","0","GW3RMUC14","PCPTHO_RC0048CM_K1,LBS:S","0","20541","","0","0","0","0","0","0","0","0","0","0","0","0"
"DESetControl","2956","5d203384-4867-46cc-bd0f-e614dac72ccb","0","GW3RMUC14","PCPTHO_RC0048CM_COMMON,RETG:S","0","20521","","0","0","0","0","0","0","0","0","0","0","0","0"
"DESetControl","3100","1a03f5ec-c6d1-43a8-ab8e-9f1cf808ae7e","0","GW3RMUC14","PCPTHO_RC0051CM_K1,ANPU:S","0","20803","","0","0","0","0","0","0","0","0","0","0","0","0"
"DESetControl","3101","16d1255d-b6e0-4487-94dc-6abe35cf9203","0","GW3RMUC14","PCPTHO_RC0051CM_K3,ANPU:S","0","20843","","0","0","0","0","0","0","0","0","0","0","0","0"
"DESetControl","3102","9ad6bdfe-ca43-46d2-9525-d4adc2e791fb","0","GW3RMUC14","PCPTHO_RC0051CM_K2,ANPU:S","0","20823","","0","0","0","0","0","0","0","0","0","0","0","0"
"DESetControl","3103","05dd481c-4b2c-499b-91a7-5e369f8bb428","0","GW3RMUC14","PCPTHO_RC0051CM_K4,ANPU:S","0","20863","","0","0","0","0","0","0","0","0","0","0","0","0"
"DESetControl","3104","a9a82a52-c814-4e6b-83f7-98af306ee429","0","GW3RMUC14","PCPTHO_RC0051CM_K5,ANPU:S","0","20883","","0","0","0","0","0","0","0","0","0","0","0","0"
"DESetControl","3105","1619bd0b-b418-4207-858e-8bd775e9d7db","0","GW3RMUC14","PCPTHO_RC0051CM_K3,LBS:S","0","20841","","0","0","0","0","0","0","0","0","0","0","0","0"
"DESetControl","3106","d2b3b314-5bd5-48b3-9d04-08211cdda38b","0","GW3RMUC14","PCPTHO_RC0051CM_K1,LBS:S","0","20801","","0","0","0","0","0","0","0","0","0","0","0","0"
"DESetControl","3107","d6acd531-cc44-4012-8493-e7879974452c","0","GW3RMUC14","PCPTHO_RC0051CM_K5,LBS:S","0","20881","","0","0","0","0","0","0","0","0","0","0","0","0"
"DESetControl","3108","eac422ba-4225-487c-9c9a-f811c9bfb03d","0","GW3RMUC14","PCPTHO_RC0051CM_K2,LBS:S","0","20821","","0","0","0","0","0","0","0","0","0","0","0","0"
"DESetControl","3109","dde35b14-a229-49a7-9435-8b538a4607c9","0","GW3RMUC14","PCPTHO_RC0051CM_K4,LBS:S","0","20861","","0","0","0","0","0","0","0","0","0","0","0","0"
"DESetControl","3110","8c066282-32ff-4eb7-8cb1-7c264842e6c5","0","GW3RMUC14","PCPTHO_RC0051CM_COMMON,RETG:S","0","20781","","0","0","0","0","0","0","0","0","0","0","0","0"
"DESetControl","3111","1e37e747-6ef0-4de1-b28e-dede377e455e","0","GW3RMUC14","PCPTHO_RC0051CM_K4,SECL:S","0","20862","","0","0","0","0","0","0","0","0","0","0","0","0"
"DESetControl","3112","16b1c5fb-fde2-4e68-83be-b0230d1c9c7d","0","GW3RMUC14","PCPTHO_RC0051CM_K2,SECL:S","0","20822","","0","0","0","0","0","0","0","0","0","0","0","0"
"DESetControl","3113","f7bff183-3567-49f8-bd89-d965c6f8def1","0","GW3RMUC14","PCPTHO_RC0051CM_K3,SECL:S","0","20842","","0","0","0","0","0","0","0","0","0","0","0","0"
"DESetControl","3114","121d1163-a569-4fa4-b091-68965e6a349a","0","GW3RMUC14","PCPTHO_RC0051CM_K5,SECL:S","0","20882","","0","0","0","0","0","0","0","0","0","0","0","0"
"DESetControl","3115","15113b44-9c54-49b0-8e18-275c454eeeff","0","GW3RMUC14","PCPTHO_RC0051CM_K1,SECL:S","0","20802","","0","0","0","0","0","0","0","0","0","0","0","0"
"DESetControl","3178","bf55f8e1-0c17-4c3e-8aae-3634b234eee3","0","GW3RMUC14","PCPTHO_RC0052CM_K1,LBS:S","0","21061","","0","0","0","0","0","0","0","0","0","0","0","0"
"DESetControl","3179","a7bf58ba-ef26-40ef-a772-aab5ad018626","0","GW3RMUC14","PCPTHO_RC0052CM_K2,LBS:S","0","21081","","0","0","0","0","0","0","0","0","0","0","0","0"
"DESetControl","3180","3a7c38f2-a113-43b7-bf53-035e78d01214","0","GW3RMUC14","PCPTHO_RC0052CM_K3,LBS:S","0","21101","","0","0","0","0","0","0","0","0","0","0","0","0"
"DESetControl","3181","4b968e84-24fa-47b5-8452-8788e88920c1","0","GW3RMUC14","PCPTHO_RC0052CM_COMMON,RETG:S","0","21041","","0","0","0","0","0","0","0","0","0","0","0","0"
"DESetControl","3182","af186153-3ab8-4746-9b06-f8fe9698a02d","0","GW3RMUC14","PCPTHO_RC0053CM_K1,LBS:S","0","21321","","0","0","0","0","0","0","0","0","0","0","0","0"
"DESetControl","3183","b1697b94-4080-4b1b-bea2-d8fa0110039b","0","GW3RMUC14","PCPTHO_RC0053CM_K2,LBS:S","0","21341","","0","0","0","0","0","0","0","0","0","0","0","0"
"DESetControl","3184","86ad4fec-e9ca-44a3-af4b-4e4f395e52f1","0","GW3RMUC14","PCPTHO_RC0053CM_K3,LBS:S","0","21361","","0","0","0","0","0","0","0","0","0","0","0","0"
"DESetControl","3185","387eed30-f984-42af-b154-518d6228c067","0","GW3RMUC14","PCPTHO_RC0053CM_K4,LBS:S","0","21381","","0","0","0","0","0","0","0","0","0","0","0","0"
"DESetControl","3186","c3757fe2-53e1-4c4b-8a45-925607ad75b3","0","GW3RMUC14","PCPTHO_RC0053CM_COMMON,RETG:S","0","21301","","0","0","0","0","0","0","0","0","0","0","0","0"
"DESetControl","4467","240a0f2f-3944-40a9-b910-30ca5711b2ec","0","GW3RMUC14","PCPTHO_RC0117CM_K1,LBS:S","0","21382","","0","0","0","0","0","0","0","0","0","0","0","0"
"DESetControl","4468","6bc18375-2ff3-4806-a652-aa050c98bf6f","0","GW3RMUC14","PCPTHO_RC0117CM_K2,LBS:S","0","21383","","0","0","0","0","0","0","0","0","0","0","0","0"
"DESetControl","4469","39d0d7b8-5736-473e-a85d-b27ac237184c","0","GW3RMUC14","PCPTHO_RC0117CM_K3,LBS:S","0","21384","","0","0","0","0","0","0","0","0","0","0","0","0"
