"TABLE","PKEY","NAME","PROJECTID","SETID","PID","ADDRSLCT","ADDRESS","ALIAS","ALIASTYPE","P1","P2","P3","P4","P5","P6","P7","P8","TYPE","FORMAT","ISSCALE","SCALEOFFST","SCALEFACT","ISDEADBAND","DEADBAND","ISMODIFY","MSINPUT","MSOUTPUT","MSAUTOSUBS","MSUNIT"
"DESetAnalog","14666","7b111b06-b798-4ddc-9184-0a28e1cc9db0","0","GW3RMUC30","PCPTHO_RC0104CM_K1,IA:A","0","5051","","0","0","0","0","0","0","0","0","0","0","2","0","0","0","0","0","0","0","0","0","0"
"DESetAnalog","14667","7cad45e5-91fd-41f8-842c-b827f5ad1d20","0","GW3RMUC30","PCPTHO_RC0104CM_K2,IA:A","0","5101","","0","0","0","0","0","0","0","0","0","0","2","0","0","0","0","0","0","0","0","0","0"
"DESetAnalog","14668","f7b180ac-e00e-4982-a3a4-a15e9efd59de","0","GW3RMUC30","PCPTHO_RC0104CM_K3,IA:A","0","5151","","0","0","0","0","0","0","0","0","0","0","2","0","0","0","0","0","0","0","0","0","0"
"DESetAnalog","14669","c3936b89-1c81-4793-92aa-b9158aff4ce9","0","GW3RMUC30","PCPTHO_RC0104CM_K4,IA:A","0","5201","","0","0","0","0","0","0","0","0","0","0","2","0","0","0","0","0","0","0","0","0","0"
"DESetAnalog","14670","ea05eb5e-c0a2-45a8-8136-2628beee1dd0","0","GW3RMUC30","PCPTHO_RC0104CM_K3,IB:A","0","5152","","0","0","0","0","0","0","0","0","0","0","2","0","0","0","0","0","0","0","0","0","0"
"DESetAnalog","14671","f78d612e-e310-48ef-a822-17fc1782b9cb","0","GW3RMUC30","PCPTHO_RC0104CM_K2,IB:A","0","5102","","0","0","0","0","0","0","0","0","0","0","2","0","0","0","0","0","0","0","0","0","0"
"DESetAnalog","14672","d17f7a5f-71d1-45d0-97b8-0d00b335692f","0","GW3RMUC30","PCPTHO_RC0104CM_K4,IB:A","0","5202","","0","0","0","0","0","0","0","0","0","0","2","0","0","0","0","0","0","0","0","0","0"
"DESetAnalog","14673","b9949eba-10d0-46ab-9c83-113e4af874a2","0","GW3RMUC30","PCPTHO_RC0104CM_K1,IB:A","0","5052","","0","0","0","0","0","0","0","0","0","0","2","0","0","0","0","0","0","0","0","0","0"
"DESetAnalog","14674","4c933fc1-6fb4-4cc8-8687-7dcc2573a2f2","0","GW3RMUC30","PCPTHO_RC0104CM_K1,IC:A","0","5053","","0","0","0","0","0","0","0","0","0","0","2","0","0","0","0","0","0","0","0","0","0"
"DESetAnalog","14675","b5bbc004-bd54-403c-8534-2c5eca5250de","0","GW3RMUC30","PCPTHO_RC0104CM_K3,IC:A","0","5153","","0","0","0","0","0","0","0","0","0","0","2","0","0","0","0","0","0","0","0","0","0"
"DESetAnalog","14676","3a9b2634-fbe1-45b8-bcd0-893ad4ba52fd","0","GW3RMUC30","PCPTHO_RC0104CM_K2,IC:A","0","5103","","0","0","0","0","0","0","0","0","0","0","2","0","0","0","0","0","0","0","0","0","0"
"DESetAnalog","14677","10ec31e8-ee7e-45c7-b91a-f29cc89a2e7b","0","GW3RMUC30","PCPTHO_RC0104CM_K4,IC:A","0","5203","","0","0","0","0","0","0","0","0","0","0","2","0","0","0","0","0","0","0","0","0","0"
"DESetAnalog","14678","5a15d716-27e2-492e-b141-1ac85894826f","0","GW3RMUC30","PCPTHO_RC0104CM_K1,IN:A","0","5054","","0","0","0","0","0","0","0","0","0","0","2","0","0","0","0","0","0","0","0","0","0"
"DESetAnalog","14679","79a37a8a-847d-4399-95b8-779055f77030","0","GW3RMUC30","PCPTHO_RC0104CM_K2,IN:A","0","5104","","0","0","0","0","0","0","0","0","0","0","2","0","0","0","0","0","0","0","0","0","0"
"DESetAnalog","14680","1a78a8e1-3bc3-43c1-b734-671210abd3d0","0","GW3RMUC30","PCPTHO_RC0104CM_K3,IN:A","0","5154","","0","0","0","0","0","0","0","0","0","0","2","0","0","0","0","0","0","0","0","0","0"
"DESetAnalog","14681","5db48bc1-092c-40e6-98a7-47a99a30b2d2","0","GW3RMUC30","PCPTHO_RC0104CM_K4,IN:A","0","5204","","0","0","0","0","0","0","0","0","0","0","2","0","0","0","0","0","0","0","0","0","0"
"DESetAnalog","14682","360b89c7-1e71-44f5-b1b0-6fc0d36d381a","0","GW3RMUC30","PCPTHO_RC0104CM_K1,PF:A","0","5060","","0","0","0","0","0","0","0","0","0","0","2","0","0","0","0","0","0","0","0","0","0"
