"TABLE","PKEY","NAME","PROJECTID","SETID","PID","ADDRSLCT","ADDRESS","ALIAS","ALIASTYPE","P1","P2","P3","P4","P5","P6","P7","P8","TYPE","FORMAT","ISMODIFY","MSINPUT","MSOUTPUT","MSAUTOSUBS"
"DESetStatus","24351","3475dae1-f1d8-4915-84db-4c7168b0605c","0","GW3RMUC11","PCPTHO_RC0111CM_K1,BALR:S","0","0","","0","0","0","0","0","0","0","0","0","0","1","0","0","0","0"
"DESetStatus","24352","50c9dd86-6325-478b-87f3-ac7f25ae8e9c","0","GW3RMUC11","PCPTHO_RC0111CM_K2,BALR:S","0","1","","0","0","0","0","0","0","0","0","0","0","1","0","0","0","0"
"DESetStatus","24353","3c6189bb-fd7c-4052-af68-bdcb3a9e54b8","0","GW3RMUC11","PCPTHO_RC0111CM_K3,BALR:S","0","2","","0","0","0","0","0","0","0","0","0","0","1","0","0","0","0"
"DESetStatus","24354","711ec86f-15e0-4d71-850d-526bc899e2a3","0","GW3RMUC11","PCPTHO_RC0111CM_K2,DC24:S","0","3","","0","0","0","0","0","0","0","0","0","0","1","0","0","0","0"
"DESetStatus","24355","608e0abd-44a9-4264-890d-a5cdb07ad867","0","GW3RMUC11","PCPTHO_RC0111CM_K1,DC24:S","0","4","","0","0","0","0","0","0","0","0","0","0","1","0","0","0","0"
"DESetStatus","24356","819faa71-ae88-48bc-a3ea-94cc72346e0a","0","GW3RMUC11","PCPTHO_RC0111CM_K3,DC24:S","0","5","","0","0","0","0","0","0","0","0","0","0","1","0","0","0","0"
"DESetStatus","24357","14ccb0ff-1879-4669-955c-513aa7592a30","0","GW3RMUC11","PCPTHO_RC0111CM_COMMON,DCCB:S","0","6","","0","0","0","0","0","0","0","0","0","0","1","0","0","0","0"
"DESetStatus","24358","759983af-ae86-43da-a0c6-dbdd67b91c7a","0","GW3RMUC11","PCPTHO_RC0111CM_COMMON,DOOR:S","0","7","","0","0","0","0","0","0","0","0","0","0","1","0","0","0","0"
"DESetStatus","24359","8a291dc6-9293-498a-8f84-e342f0074f4c","0","GW3RMUC11","PCPTHO_RC0111CM_K2,ES:S","0","8","","0","0","0","0","0","0","0","0","0","0","3","0","0","0","0"
"DESetStatus","24360","d31f8140-58c4-42a0-a2b4-0da03234301e","0","GW3RMUC11","PCPTHO_RC0111CM_T1,ES:S","0","10","","0","0","0","0","0","0","0","0","0","0","3","0","0","0","0"
"DESetStatus","24361","ccf5cb9f-80b5-44c3-b153-f780bb0499fc","0","GW3RMUC11","PCPTHO_RC0111CM_K1,ES:S","0","12","","0","0","0","0","0","0","0","0","0","0","3","0","0","0","0"
"DESetStatus","24362","c42d1931-0b40-4457-aab5-3b1d58258b34","0","GW3RMUC11","PCPTHO_RC0111CM_T2,ES:S","0","14","","0","0","0","0","0","0","0","0","0","0","3","0","0","0","0"
"DESetStatus","24363","896e9b96-4bcd-41a3-87b7-a3822df80964","0","GW3RMUC11","PCPTHO_RC0111CM_K3,ES:S","0","16","","0","0","0","0","0","0","0","0","0","0","3","0","0","0","0"
"DESetStatus","24364","d5977f51-06e7-48a0-a55b-327a83f1f2e9","0","GW3RMUC11","PCPTHO_RC0111CM_K2,FI:S","0","18","","0","0","0","0","0","0","0","0","0","0","1","0","0","0","0"
"DESetStatus","24365","c946c0ec-b320-4290-a73c-57beb7a38a81","0","GW3RMUC11","PCPTHO_RC0111CM_K1,FI:S","0","19","","0","0","0","0","0","0","0","0","0","0","1","0","0","0","0"
"DESetStatus","24366","9a0e57a7-c470-4472-9a0c-0b080377d36a","0","GW3RMUC11","PCPTHO_RC0111CM_K3,FI:S","0","20","","0","0","0","0","0","0","0","0","0","0","1","0","0","0","0"
"DESetStatus","24367","d90e53d3-6850-4175-9089-6a49a7841fe6","0","GW3RMUC11","PCPTHO_RC0111CM_K3,LBS:S","0","21","","0","0","0","0","0","0","0","0","0","0","3","0","0","0","0"
"DESetStatus","24368","c9576726-21a0-4d6e-bf55-03fa64119d74","0","GW3RMUC11","PCPTHO_RC0111CM_K2,LBS:S","0","23","","0","0","0","0","0","0","0","0","0","0","3","0","0","0","0"
"DESetStatus","24369","f66da47a-a878-4da8-a714-c998a6a8475d","0","GW3RMUC11","PCPTHO_RC0111CM_T1,LBS:S","0","25","","0","0","0","0","0","0","0","0","0","0","3","0","0","0","0"
"DESetStatus","24370","da51d38e-0a93-4370-a658-f1b64f3bad51","0","GW3RMUC11","PCPTHO_RC0111CM_T2,LBS:S","0","27","","0","0","0","0","0","0","0","0","0","0","3","0","0","0","0"
"DESetStatus","24371","51a0126e-b807-458f-b808-4ed5934a6549","0","GW3RMUC11","PCPTHO_RC0111CM_K1,LBS:S","0","29","","0","0","0","0","0","0","0","0","0","0","3","0","0","0","0"
"DESetStatus","24372","81585085-949c-4ef1-9249-9bee47766e75","0","GW3RMUC11","PCPTHO_RC0111CM_COMMON,NACP:S","0","31","","0","0","0","0","0","0","0","0","0","0","1","0","0","0","0"
"DESetStatus","24373","7d5dbe4f-b256-4b81-ab99-290585c4e48f","0","GW3RMUC11","PCPTHO_RC0111CM_K1,PKABC:S","0","32","","0","0","0","0","0","0","0","0","0","0","1","0","0","0","0"
"DESetStatus","24374","c26d1715-81c2-4ec9-af93-ccb11e60bccf","0","GW3RMUC11","PCPTHO_RC0111CM_K2,PKABC:S","0","33","","0","0","0","0","0","0","0","0","0","0","1","0","0","0","0"
"DESetStatus","24375","59843710-5222-4d0f-bf53-af29163e38fb","0","GW3RMUC11","PCPTHO_RC0111CM_K3,PKABC:S","0","34","","0","0","0","0","0","0","0","0","0","0","1","0","0","0","0"
"DESetStatus","24376","fdfd07fe-6184-4f4f-94cb-724841d2e9ea","0","GW3RMUC11","PCPTHO_RC0111CM_K2,PKPA:S","0","35","","0","0","0","0","0","0","0","0","0","0","1","0","0","0","0"
"DESetStatus","24377","d317cc37-068c-40bd-a652-2ba73433d91f","0","GW3RMUC11","PCPTHO_RC0111CM_K1,PKPA:S","0","36","","0","0","0","0","0","0","0","0","0","0","1","0","0","0","0"
"DESetStatus","24378","524e3239-1b6b-4df2-a4eb-2f4ae8853c00","0","GW3RMUC11","PCPTHO_RC0111CM_K3,PKPA:S","0","37","","0","0","0","0","0","0","0","0","0","0","1","0","0","0","0"
"DESetStatus","24379","442b9c01-f572-4144-b91f-3acde5178fd9","0","GW3RMUC11","PCPTHO_RC0111CM_K1,PKPB:S","0","38","","0","0","0","0","0","0","0","0","0","0","1","0","0","0","0"
"DESetStatus","24380","e87d1f4c-7177-485c-beff-67b44c175556","0","GW3RMUC11","PCPTHO_RC0111CM_K3,PKPB:S","0","39","","0","0","0","0","0","0","0","0","0","0","1","0","0","0","0"
"DESetStatus","24381","3abb4382-b827-45c0-bfce-98c5bffe20a8","0","GW3RMUC11","PCPTHO_RC0111CM_K2,PKPB:S","0","40","","0","0","0","0","0","0","0","0","0","0","1","0","0","0","0"
"DESetStatus","24382","7a64f35b-9e15-4b1f-8e1c-73650bfadd5d","0","GW3RMUC11","PCPTHO_RC0111CM_K1,PKPC:S","0","41","","0","0","0","0","0","0","0","0","0","0","1","0","0","0","0"
"DESetStatus","24383","9fa982bc-8d40-4d3e-a505-0938e09c2292","0","GW3RMUC11","PCPTHO_RC0111CM_K2,PKPC:S","0","42","","0","0","0","0","0","0","0","0","0","0","1","0","0","0","0"
"DESetStatus","24384","9f7847f5-5baf-4684-978b-8ef7b52690f6","0","GW3RMUC11","PCPTHO_RC0111CM_K3,PKPC:S","0","43","","0","0","0","0","0","0","0","0","0","0","1","0","0","0","0"
"DESetStatus","24385","14d04ae0-87b0-4a49-8e00-59ec43a702b5","0","GW3RMUC11","PCPTHO_RC0111CM_K2,PKPN:S","0","44","","0","0","0","0","0","0","0","0","0","0","1","0","0","0","0"
"DESetStatus","24386","6cc84efc-f7c7-4c1e-bb9d-4d6782c35905","0","GW3RMUC11","PCPTHO_RC0111CM_K3,PKPN:S","0","45","","0","0","0","0","0","0","0","0","0","0","1","0","0","0","0"
"DESetStatus","24387","4c7fde3d-4268-49eb-99e2-72aa0bf7bd6a","0","GW3RMUC11","PCPTHO_RC0111CM_K1,PKPN:S","0","46","","0","0","0","0","0","0","0","0","0","0","1","0","0","0","0"
"DESetStatus","24388","afbbde92-82a3-4b26-b9bb-156d75375a34","0","GW3RMUC11","PCPTHO_RC0111CM_T2,SFAL:S","0","47","","0","0","0","0","0","0","0","0","0","0","1","0","0","0","0"
"DESetStatus","24389","993653ce-69c8-45c3-b83e-ba66f67e3e34","0","GW3RMUC11","PCPTHO_RC0111CM_K1,SFAL:S","0","48","","0","0","0","0","0","0","0","0","0","0","1","0","0","0","0"
"DESetStatus","24390","57353fe2-97b1-4583-9468-fbaf6d25e919","0","GW3RMUC11","PCPTHO_RC0111CM_T1,SFAL:S","0","49","","0","0","0","0","0","0","0","0","0","0","1","0","0","0","0"
"DESetStatus","24391","044effff-2257-4fa9-ad5e-ca0b89f0e971","0","GW3RMUC11","PCPTHO_RC0111CM_K3,SFAL:S","0","50","","0","0","0","0","0","0","0","0","0","0","1","0","0","0","0"
"DESetStatus","24392","5890cfb9-e53e-45ae-967e-9d77328ac418","0","GW3RMUC11","PCPTHO_RC0111CM_K2,SFAL:S","0","51","","0","0","0","0","0","0","0","0","0","0","1","0","0","0","0"
"DESetStatus","24393","66eabb70-6a3e-45c3-95ce-7503433770af","0","GW3RMUC11","PCPTHO_RC0111CM_K2,VAPR:S","0","52","","0","0","0","0","0","0","0","0","0","0","1","0","0","0","0"
"DESetStatus","24394","c9202c79-45c6-4714-9f37-5549d6ffec24","0","GW3RMUC11","PCPTHO_RC0111CM_K3,VAPR:S","0","53","","0","0","0","0","0","0","0","0","0","0","1","0","0","0","0"
"DESetStatus","24395","b739176d-4190-43cb-abc5-a1f89f1397b5","0","GW3RMUC11","PCPTHO_RC0111CM_K1,VAPR:S","0","54","","0","0","0","0","0","0","0","0","0","0","1","0","0","0","0"
"DESetStatus","24396","eda1bf87-656e-44b6-9927-8629aab54a16","0","GW3RMUC11","PCPTHO_RC0111CM_K2,VBPR:S","0","55","","0","0","0","0","0","0","0","0","0","0","1","0","0","0","0"
"DESetStatus","24397","abe9889a-72fb-4b73-a403-1258cd0181cd","0","GW3RMUC11","PCPTHO_RC0111CM_K1,VBPR:S","0","56","","0","0","0","0","0","0","0","0","0","0","1","0","0","0","0"
"DESetStatus","24398","2e6e1cfa-f449-44b2-ab7f-e82053323994","0","GW3RMUC11","PCPTHO_RC0111CM_K3,VBPR:S","0","57","","0","0","0","0","0","0","0","0","0","0","1","0","0","0","0"
"DESetStatus","24399","bb86f7fb-4ab6-4295-b8b5-e41c6d66568d","0","GW3RMUC11","PCPTHO_RC0111CM_K1,VCPR:S","0","58","","0","0","0","0","0","0","0","0","0","0","1","0","0","0","0"
"DESetStatus","24400","c1f5265a-9ab1-419d-9fea-b26ff0e4541d","0","GW3RMUC11","PCPTHO_RC0111CM_K2,VCPR:S","0","59","","0","0","0","0","0","0","0","0","0","0","1","0","0","0","0"
"DESetStatus","24401","524951e8-6023-4a00-a8ee-8f8a2168c640","0","GW3RMUC11","PCPTHO_RC0111CM_K3,VCPR:S","0","60","","0","0","0","0","0","0","0","0","0","0","1","0","0","0","0"
