"TABLE","PKEY","NAME","PROJECTID","SETID","PID","ADDRSLCT","ADDRESS","ALIAS","ALIASTYPE","P1","P2","P3","P4","P5","P6","P7","P8","TYPE","FORMAT","ISSCALE","SCALEOFFST","SCALEFACT","ISDEADBAND","DEADBAND","ISMODIFY","MSINPUT","MSOUTPUT","MSAUTOSUBS","MSUNIT"
"DESetAnalog","9090","bed45304-2880-4f0c-8d50-6b232dab125c","0","GW3RMUC10","PCPTHO_RC0014CM_K1,IA:A","0","5051","","0","0","0","0","0","0","0","0","0","0","2","0","0","0","0","1","0","1","1","1","0"
"DESetAnalog","9091","293d0464-1739-46cf-ad14-c26915b699de","0","GW3RMUC10","PCPTHO_RC0014CM_K3,IA:A","0","5151","","0","0","0","0","0","0","0","0","0","0","2","0","0","0","0","1","0","1","1","1","0"
"DESetAnalog","9092","375ab9d4-cd69-4af1-b48b-6f3dffcf76d9","0","GW3RMUC10","PCPTHO_RC0014CM_K2,IA:A","0","5101","","0","0","0","0","0","0","0","0","0","0","2","0","0","0","0","1","0","1","1","1","0"
"DESetAnalog","9093","9cd451fd-adfc-448e-9100-d6762ad09334","0","GW3RMUC10","PCPTHO_RC0014CM_K3,IB:A","0","5152","","0","0","0","0","0","0","0","0","0","0","2","0","0","0","0","1","0","1","1","1","0"
"DESetAnalog","9094","ec5144fe-852e-43c5-aaa6-04bf2cf2170b","0","GW3RMUC10","PCPTHO_RC0014CM_K1,IB:A","0","5052","","0","0","0","0","0","0","0","0","0","0","2","0","0","0","0","1","0","1","1","1","0"
"DESetAnalog","9095","6d13bd0e-6965-4148-9e33-0ffb3b93c59c","0","GW3RMUC10","PCPTHO_RC0014CM_K2,IB:A","0","5102","","0","0","0","0","0","0","0","0","0","0","2","0","0","0","0","1","0","1","1","1","0"
"DESetAnalog","9096","ed6b3c4a-9fe2-4d87-9da0-4d48f81d2853","0","GW3RMUC10","PCPTHO_RC0014CM_K1,IC:A","0","5053","","0","0","0","0","0","0","0","0","0","0","2","0","0","0","0","1","0","1","1","1","0"
"DESetAnalog","9097","fd8436ce-be07-477b-b5f5-c77f0c03e7f4","0","GW3RMUC10","PCPTHO_RC0014CM_K3,IC:A","0","5153","","0","0","0","0","0","0","0","0","0","0","2","0","0","0","0","1","0","1","1","1","0"
"DESetAnalog","9098","face1b3b-b8f7-4ed7-9fe1-39533a601d11","0","GW3RMUC10","PCPTHO_RC0014CM_K2,IC:A","0","5103","","0","0","0","0","0","0","0","0","0","0","2","0","0","0","0","1","0","1","1","1","0"
"DESetAnalog","9099","12e18e08-1d35-4e82-8af1-fce10f40ca2c","0","GW3RMUC10","PCPTHO_RC0014CM_K2,IN:A","0","5104","","0","0","0","0","0","0","0","0","0","0","2","0","0","0","0","1","0","1","0","0","0"
"DESetAnalog","9100","4ec5d46a-0f14-4d25-b011-247587844a21","0","GW3RMUC10","PCPTHO_RC0014CM_K1,IN:A","0","5054","","0","0","0","0","0","0","0","0","0","0","2","0","0","0","0","1","0","1","0","0","0"
"DESetAnalog","9101","6f3af7ed-7b99-42f2-a798-5f2c4a099c1a","0","GW3RMUC10","PCPTHO_RC0014CM_K3,IN:A","0","5154","","0","0","0","0","0","0","0","0","0","0","2","0","0","0","0","1","0","1","0","0","0"
"DESetAnalog","9102","84bd0636-75f7-44a3-a2ab-7f5da661921b","0","GW3RMUC10","PCPTHO_RC0014CM_K2,PF:A","0","5110","","0","0","0","0","0","0","0","0","0","0","2","0","0","0","0","1","0","1","0","0","0"
"DESetAnalog","9103","88c7adcf-180f-4406-afe8-53e555125a41","0","GW3RMUC10","PCPTHO_RC0014CM_K1,PF:A","0","5060","","0","0","0","0","0","0","0","0","0","0","2","0","0","0","0","1","0","1","0","0","0"
"DESetAnalog","9104","4d52b32a-4e26-470c-a0c4-2b2103b2df89","0","GW3RMUC10","PCPTHO_RC0014CM_K3,PF:A","0","5160","","0","0","0","0","0","0","0","0","0","0","2","0","0","0","0","1","0","1","0","0","0"
"DESetAnalog","9105","dc6630a7-d30e-4987-933b-cf976fe9173f","0","GW3RMUC10","PCPTHO_RC0014CM_K3,PSUM:A","0","5158","","0","0","0","0","0","0","0","0","0","0","2","0","0","0","0","1","0","1","1","20","0"
"DESetAnalog","9106","15e02e3a-cc01-4ccc-b16d-e5f6af33fa5e","0","GW3RMUC10","PCPTHO_RC0014CM_K2,PSUM:A","0","5108","","0","0","0","0","0","0","0","0","0","0","2","0","0","0","0","1","0","1","1","20","0"
"DESetAnalog","9107","06334004-6c6c-4169-a0f6-7da3c48951d8","0","GW3RMUC10","PCPTHO_RC0014CM_K1,PSUM:A","0","5058","","0","0","0","0","0","0","0","0","0","0","2","0","0","0","0","1","0","1","1","20","0"
"DESetAnalog","9108","a4295417-5549-4f1a-9766-81e0f5f7cfbd","0","GW3RMUC10","PCPTHO_RC0014CM_K1,QSUM:A","0","5059","","0","0","0","0","0","0","0","0","0","0","2","0","0","0","0","1","0","1","1","10","0"
"DESetAnalog","9109","5d60f10e-d997-4725-a0bf-65fdbd4c416c","0","GW3RMUC10","PCPTHO_RC0014CM_K2,QSUM:A","0","5109","","0","0","0","0","0","0","0","0","0","0","2","0","0","0","0","1","0","1","1","10","0"
"DESetAnalog","9110","62764457-38f7-4838-96a2-8edbea199099","0","GW3RMUC10","PCPTHO_RC0014CM_K3,QSUM:A","0","5159","","0","0","0","0","0","0","0","0","0","0","2","0","0","0","0","1","0","1","1","10","0"
"DESetAnalog","9111","d68aedb6-31f7-4e19-bd06-4ef6d46c0620","0","GW3RMUC10","PCPTHO_RC0014CM_K1,VAB:A","0","5055","","0","0","0","0","0","0","0","0","0","0","2","0","0","0","0","1","0","1","0","0","0"
"DESetAnalog","9112","f466228d-cef5-4a69-886d-37e2e256160f","0","GW3RMUC10","PCPTHO_RC0014CM_K3,VAB:A","0","5155","","0","0","0","0","0","0","0","0","0","0","2","0","0","0","0","1","0","1","0","0","0"
"DESetAnalog","9113","6399a2a9-ca87-4a46-896a-3a179c563994","0","GW3RMUC10","PCPTHO_RC0014CM_K2,VAB:A","0","5105","","0","0","0","0","0","0","0","0","0","0","2","0","0","0","0","1","0","1","0","0","0"
"DESetAnalog","9114","8c4cd7a5-3ec3-4160-a65e-afad18fa4b46","0","GW3RMUC10","PCPTHO_RC0014CM_K2,VBC:A","0","5106","","0","0","0","0","0","0","0","0","0","0","2","0","0","0","0","1","0","1","0","0","0"
"DESetAnalog","9115","b1a010b1-a457-46a3-903b-6fd3412b31a4","0","GW3RMUC10","PCPTHO_RC0014CM_K3,VBC:A","0","5156","","0","0","0","0","0","0","0","0","0","0","2","0","0","0","0","1","0","1","0","0","0"
"DESetAnalog","9116","5f227ca2-0dff-4924-b8bb-2d103ce239d0","0","GW3RMUC10","PCPTHO_RC0014CM_K1,VBC:A","0","5056","","0","0","0","0","0","0","0","0","0","0","2","0","0","0","0","1","0","1","0","0","0"
"DESetAnalog","9117","0666b74a-e0b9-47a8-95ab-5dc365b36681","0","GW3RMUC10","PCPTHO_RC0014CM_K1,VCA:A","0","5057","","0","0","0","0","0","0","0","0","0","0","2","0","0","0","0","1","0","1","0","0","0"
"DESetAnalog","9118","52d2e756-688d-450d-b64e-a1ac902ed1a5","0","GW3RMUC10","PCPTHO_RC0014CM_K2,VCA:A","0","5107","","0","0","0","0","0","0","0","0","0","0","2","0","0","0","0","1","0","1","0","0","0"
"DESetAnalog","9119","b2a71287-87f4-4eb2-a15f-07e3eef50abf","0","GW3RMUC10","PCPTHO_RC0014CM_K3,VCA:A","0","5157","","0","0","0","0","0","0","0","0","0","0","2","0","0","0","0","1","0","1","0","0","0"
