"TABLE","PKEY","NAME","PROJECTID","SETID","PID","ADDRSLCT","ADDRESS","ALIAS","ALIASTYPE","P1","P2","P3","P4","P5","P6","P7","P8","TYPE","FORMAT","ISSBO"
"DESetControl","4121","382c114b-c503-4946-9c9b-e980ad4ab6a4","0","GW3RMUC30","PCPTHO_RC0104CM_K3,ANPU:S","0","20063","","0","0","0","0","0","0","0","0","0","0","0","0"
"DESetControl","4122","3f23e90d-7e1a-4ac0-9ac3-ef6d3274f1ea","0","GW3RMUC30","PCPTHO_RC0104CM_K4,ANPU:S","0","20083","","0","0","0","0","0","0","0","0","0","0","0","0"
"DESetControl","4123","a53acca9-e3cc-4813-b9d6-13291305dcb4","0","GW3RMUC30","PCPTHO_RC0104CM_K1,ANPU:S","0","20023","","0","0","0","0","0","0","0","0","0","0","0","0"
"DESetControl","4124","e900dc9f-ec1b-4e01-b9c7-2af307c8565f","0","GW3RMUC30","PCPTHO_RC0104CM_K2,ANPU:S","0","20043","","0","0","0","0","0","0","0","0","0","0","0","0"
"DESetControl","4125","ebcdb2aa-84da-452c-be75-bc2ea0b03f12","0","GW3RMUC30","PCPTHO_RC0104CM_K1,LBS:S","0","20021","","0","0","0","0","0","0","0","0","0","0","0","0"
"DESetControl","4126","5ff303fa-dde5-4b4d-bf9c-61b8a06bc950","0","GW3RMUC30","PCPTHO_RC0104CM_K2,LBS:S","0","20041","","0","0","0","0","0","0","0","0","0","0","0","0"
"DESetControl","4127","373b0e1b-de6d-462e-a637-af01b06cdf33","0","GW3RMUC30","PCPTHO_RC0104CM_K3,LBS:S","0","20061","","0","0","0","0","0","0","0","0","0","0","0","0"
"DESetControl","4128","da536ed0-1d94-4d30-b64c-bc2c776dfd58","0","GW3RMUC30","PCPTHO_RC0104CM_K4,LBS:S","0","20081","","0","0","0","0","0","0","0","0","0","0","0","0"
"DESetControl","4129","77fe5f5f-1735-425a-9f09-c6798eac1052","0","GW3RMUC30","PCPTHO_RC0104CM_COMMON,RETG:S","0","20001","","0","0","0","0","0","0","0","0","0","0","0","0"
"DESetControl","4130","394a1d2f-6361-4bfe-b729-cc065e21e18e","0","GW3RMUC30","PCPTHO_RC0104CM_K1,SECL:S","0","9","","0","0","0","0","0","0","0","0","0","0","0","0"
"DESetControl","4131","5c52f278-8cec-4465-81b9-d5ef5c88d428","0","GW3RMUC30","PCPTHO_RC0104CM_K4,SECL:S","0","10","","0","0","0","0","0","0","0","0","0","0","0","0"
"DESetControl","4132","0ba630c5-c4be-430d-bcb7-92c2da47352b","0","GW3RMUC30","PCPTHO_RC0104CM_K2,SECL:S","0","11","","0","0","0","0","0","0","0","0","0","0","0","0"
"DESetControl","4133","62973bdd-b3b7-47ff-91dd-324e7bd3a9d7","0","GW3RMUC30","PCPTHO_RC0104CM_K3,SECL:S","0","12","","0","0","0","0","0","0","0","0","0","0","0","0"
"DESetControl","4442","d946596b-bb1d-4190-8801-a5d1aa264a13","0","GW3RMUC30","PCPTHO_RC0108CM_K4,LBS:S","0","20084","","0","0","0","0","0","0","0","0","0","0","0","0"
"DESetControl","4443","c53d147e-88ad-471e-b328-44fa68b271f6","0","GW3RMUC30","PCPTHO_RC0108CM_K1,LBS:S","0","20085","","0","0","0","0","0","0","0","0","0","0","0","0"
"DESetControl","4444","9bf11a9b-3c71-4710-978a-f36725d3f53e","0","GW3RMUC30","PCPTHO_RC0108CM_K2,LBS:S","0","20086","","0","0","0","0","0","0","0","0","0","0","0","0"
"DESetControl","4445","539c4572-853f-4b73-b2dc-0a89fe867366","0","GW3RMUC30","PCPTHO_RC0108CM_K3,LBS:S","0","20087","","0","0","0","0","0","0","0","0","0","0","0","0"
"DESetControl","4446","88f9297f-db48-40b0-8df9-ff8b905f5069","0","GW3RMUC30","PCPTHO_RC0112CM_K3,LBS:S","0","20088","","0","0","0","0","0","0","0","0","0","0","0","0"
