"TABLE","PKEY","NAME","PROJECTID","SETID","PID","ADDRSLCT","ADDRESS","ALIAS","ALIASTYPE","P1","P2","P3","P4","P5","P6","P7","P8","TYPE","FORMAT","ISMODIFY","MSINPUT","MSOUTPUT","MSAUTOSUBS"
"DESetStatus","22336","c4b874dc-ed4a-4bab-913d-53cd5bbb7cf3","0","GW3RMUC30","PCPTHO_RC0104CM_COMMON,ACCB:S","0","1007","","0","0","0","0","0","0","0","0","0","0","1","0","0","0","0"
"DESetStatus","22337","4b3db1e9-0a70-4ccd-b73b-e891ac3e8135","0","GW3RMUC30","PCPTHO_RC0104CM_K3,ANPU:S","0","4121","","0","0","0","0","0","0","0","0","0","0","1","0","0","0","0"
"DESetStatus","22338","cb652b5c-7c07-4030-be3c-c52466bcfbde","0","GW3RMUC30","PCPTHO_RC0104CM_K4,ANPU:S","0","4171","","0","0","0","0","0","0","0","0","0","0","1","0","0","0","0"
"DESetStatus","22339","e368e9bc-8f2e-4765-a33e-88448cc08272","0","GW3RMUC30","PCPTHO_RC0104CM_K1,ANPU:S","0","4021","","0","0","0","0","0","0","0","0","0","0","1","0","0","0","0"
"DESetStatus","22340","d7eeed02-37ae-4930-9910-b0b1a6eb1615","0","GW3RMUC30","PCPTHO_RC0104CM_K2,ANPU:S","0","4071","","0","0","0","0","0","0","0","0","0","0","1","0","0","0","0"
"DESetStatus","22341","f7437ab4-e076-4b76-9ff6-b1f49dc90c52","0","GW3RMUC30","PCPTHO_RC0104CM_COMMON,BALR:S","0","1001","","0","0","0","0","0","0","0","0","0","0","2","0","0","0","0"
"DESetStatus","22342","c54bb002-224f-41fc-807f-1ce0e9a0ae3a","0","GW3RMUC30","PCPTHO_RC0104CM_K4,CMER:S","0","4164","","0","0","0","0","0","0","0","0","0","0","1","0","0","0","0"
"DESetStatus","22343","50698d9b-45a5-42bb-951b-3b58e7cd123b","0","GW3RMUC30","PCPTHO_RC0104CM_K3,CMER:S","0","4114","","0","0","0","0","0","0","0","0","0","0","1","0","0","0","0"
"DESetStatus","22344","79bc4c9b-dc28-4323-af37-f070539e5cfc","0","GW3RMUC30","PCPTHO_RC0104CM_K1,CMER:S","0","4014","","0","0","0","0","0","0","0","0","0","0","1","0","0","0","0"
"DESetStatus","22345","2ca88e21-88cb-4c10-b6e5-363f487df4cb","0","GW3RMUC30","PCPTHO_RC0104CM_K2,CMER:S","0","4064","","0","0","0","0","0","0","0","0","0","0","1","0","0","0","0"
