"TABLE","PKEY","NAME","PROJECTID","SETID","PID","ADDRSLCT","ADDRESS","ALIAS","ALIASTYPE","P1","P2","P3","P4","P5","P6","P7","P8","TYPE","FORMAT","ISSCALE","SCALEOFFST","SCALEFACT","ISDEADBAND","DEADBAND","ISMODIFY","MSINPUT","MSOUTPUT","MSAUTOSUBS","MSUNIT"
"DESetAnalog","10688","c1b01de6-acc4-4753-a7a3-183fa1d19d58","0","GW3RMUC31","PCPTHO_RC0106CM_K3,IA:A","0","5464","","0","0","0","0","0","0","0","0","0","0","1","0","0","0","0","0","0","0","0","0","0"
"DESetAnalog","10697","e6627ae9-8400-4814-8d15-81e86f30d2b5","0","GW3RMUC31","PCPTHO_RC0106CM_K2,IA:A","0","5465","","0","0","0","0","0","0","0","0","0","0","1","0","0","0","0","0","0","0","0","0","0"
"DESetAnalog","14229","755a8c71-913f-433c-a3b0-c7a631587b4b","0","GW3RMUC31","PCPTHO_RC0099CM_K2,AGLA:A","0","5051","","0","0","0","0","0","0","0","0","0","0","2","0","0","0","0","0","0","0","0","0","0"
"DESetAnalog","14230","eeaf129c-b390-4258-97b4-2f238d58b572","0","GW3RMUC31","PCPTHO_RC0099CM_K5,AGLA:A","0","5201","","0","0","0","0","0","0","0","0","0","0","2","0","0","0","0","0","0","0","0","0","0"
"DESetAnalog","14231","f004adf9-4d27-4e5f-98bb-8a7a108e132d","0","GW3RMUC31","PCPTHO_RC0099CM_K4,AGLA:A","0","5151","","0","0","0","0","0","0","0","0","0","0","2","0","0","0","0","0","0","0","0","0","0"
"DESetAnalog","14232","bd4e4517-c411-45e9-94f7-72d1b733df62","0","GW3RMUC31","PCPTHO_RC0099CM_K3,AGLA:A","0","5101","","0","0","0","0","0","0","0","0","0","0","2","0","0","0","0","0","0","0","0","0","0"
"DESetAnalog","14233","24e2b5e6-c9f5-4869-902f-c541f95f52dd","0","GW3RMUC31","PCPTHO_RC0099CM_K1,AGLA:A","0","5001","","0","0","0","0","0","0","0","0","0","0","2","0","0","0","0","0","0","0","0","0","0"
"DESetAnalog","14234","48fbd884-c6ff-4806-99f5-73f14e0ed14d","0","GW3RMUC31","PCPTHO_RC0099CM_K5,AGLB:A","0","5202","","0","0","0","0","0","0","0","0","0","0","2","0","0","0","0","0","0","0","0","0","0"
"DESetAnalog","14235","49d1d5f6-c4b1-4756-8198-ebf2a79da563","0","GW3RMUC31","PCPTHO_RC0099CM_K4,AGLB:A","0","5152","","0","0","0","0","0","0","0","0","0","0","2","0","0","0","0","0","0","0","0","0","0"
"DESetAnalog","14236","192794b1-7c6c-49d7-adeb-b2d930e2b13c","0","GW3RMUC31","PCPTHO_RC0099CM_K3,AGLB:A","0","5102","","0","0","0","0","0","0","0","0","0","0","2","0","0","0","0","0","0","0","0","0","0"
