"TABLE","PKEY","NAME","PROJECTID","SETID","PID","ADDRSLCT","ADDRESS","ALIAS","ALIASTYPE","P1","P2","P3","P4","P5","P6","P7","P8","TYPE","FORMAT","ISSCALE","SCALEOFFST","SCALEFACT","ISDEADBAND","DEADBAND","ISMODIFY","MSINPUT","MSOUTPUT","MSAUTOSUBS","MSUNIT"
"DESetAnalog","18116","daadad15-632b-4d21-b8a1-9d2bf34ddb0c","0","GW3RECC29","PCPTHO_RECC0042,IA:A","0","0","","0","0","0","0","0","0","0","0","0","0","1","0","0","0","0","0","0","0","0","0","0"
"DESetAnalog","18117","687eff65-ab10-4890-89ae-396c47968a5a","0","GW3RECC29","PCPTHO_RECC0042,IB:A","0","1","","0","0","0","0","0","0","0","0","0","0","1","0","0","0","0","0","0","0","0","0","0"
"DESetAnalog","18118","c7716ef0-42f0-4ef9-84f2-9adf7e4b00bf","0","GW3RECC29","PCPTHO_RECC0042,IC:A","0","2","","0","0","0","0","0","0","0","0","0","0","1","0","0","0","0","0","0","0","0","0","0"
"DESetAnalog","18119","ea797969-9856-4778-9a5e-0c291147963b","0","GW3RECC29","PCPTHO_RECC0042,PSUM:A","0","3","","0","0","0","0","0","0","0","0","0","0","1","0","0","0","0","0","0","0","0","0","0"
"DESetAnalog","18120","bb7ed4a8-209d-4286-a325-1c7d96540377","0","GW3RECC29","PCPTHO_RECC0042,QSUM:A","0","4","","0","0","0","0","0","0","0","0","0","0","1","0","0","0","0","0","0","0","0","0","0"
