TABLE,PKEY,NAME,PROJECTID,SETID,PID,ADDRSLCT,ADDRESS,ALIAS,ALIASTYPE,P1,P2,P3,P4,P5,P6,P7,P8,TYPE,FORMAT,ISSCALE,SCALEOFFST,SCALEFACT,ISDEADBAND,DEADBAND,ISMODIFY,MSINPUT,MSOUTPUT,MSAUTOSUBS,MSUNIT
DESetAnalog,8391,cbbdebbe-2f41-4c54-8db1-3c0dbff3d8d5,0,GW3RMUC06,"PCPTHO_RC0006CM_K2,VCA",0,,,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,1,0,1,0,0,0
DESetAnalog,8392,9ae7f8e6-93fe-41d8-9bd1-2129e5d1d9ed,0,GW3RMUC06,"PCPTHO_RC0007CM_K1,AGLA",0,,,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,1,0,1,0,0,0
DESetAnalog,8393,dad074fb-ff72-4218-a107-d8172884f39a,0,GW3RMUC06,"PCPTHO_RC0007CM_K3,AGLA",0,,,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,1,0,1,0,0,0
DESetAnalog,8394,8890c3bf-9fbc-4e24-a89e-9645d774528a,0,GW3RMUC06,"PCPTHO_RC0007CM_K2,AGLA",0,,,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,1,0,1,0,0,0
DESetAnalog,8395,85f9e9e2-7b2d-4800-a839-c8f3f30b38cc,0,GW3RMUC06,"PCPTHO_RC0007CM_K2,AGLB",0,,,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,1,0,1,0,0,0
DESetAnalog,8396,0b8bcd17-a4ef-42ef-b45f-8df177770cc6,0,GW3RMUC06,"PCPTHO_RC0007CM_K3,AGLB",0,,,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,1,0,1,0,0,0
DESetAnalog,8397,63ba0883-e8a7-4035-bc5e-df56495e32d1,0,GW3RMUC06,"PCPTHO_RC0007CM_K1,AGLB",0,,,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,1,0,1,0,0,0
DESetAnalog,8398,79c22d0d-4e1e-4c2a-8649-f9c3025bdec4,0,GW3RMUC06,"PCPTHO_RC0007CM_K2,AGLC",0,,,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,1,0,1,0,0,0
DESetAnalog,8399,1ca8b192-79d8-4b44-a8da-29e19f9b873a,0,GW3RMUC06,"PCPTHO_RC0007CM_K3,AGLC",0,,,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,1,0,1,0,0,0
DESetAnalog,8400,8eb60157-a957-4751-9a86-374040f4466c,0,GW3RMUC06,"PCPTHO_RC0007CM_K1,AGLC",0,,,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,1,0,1,0,0,0
DESetAnalog,8401,2ef79e50-adfe-4444-8257-856f4d143192,0,GW3RMUC06,"PCPTHO_RC0007CM_K2,IA",0,,,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,1,0,1,0,0,0
DESetAnalog,8402,822c1a58-7fa9-4b32-80e5-a85a0e7c0101,0,GW3RMUC06,"PCPTHO_RC0007CM_K1,IA",0,,,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,1,0,1,1,1,0
DESetAnalog,8403,9d4e9692-40a2-41d9-9c61-1e68b219f4f9,0,GW3RMUC06,"PCPTHO_RC0007CM_K3,IA",0,,,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,1,0,1,0,0,0
DESetAnalog,8404,9d2de841-f5ca-4895-a6b0-dcc5b40de1ae,0,GW3RMUC06,"PCPTHO_RC0007CM_K1,IB",0,,,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,1,0,1,1,1,0
DESetAnalog,8405,8a617125-d6a7-4ea0-b12c-8aeebd4dc0fe,0,GW3RMUC06,"PCPTHO_RC0007CM_K3,IB",0,,,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,1,0,1,0,0,0
